Económica;Explicación;03.01;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;68.519,87;68.519,87;68.519.870,00
10; Altos cargos;1.617,04;1.617,04;1.617.040,00
11; Personal eventual;1.631,94;1.631,94;1.631.940,00
12; Funcionarios;48.432,30;48.432,30;48.432.300,00
13; Laborales;6.718,60;6.718,60;6.718.600,00
15; Incentivos al rendimiento;4.842,29;4.842,29;4.842.290,00
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;5.277,70;5.277,70;5.277.700,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;6.832,27;6.832,27;6.832.270,00
20; Arrendamientos y cánones;1.922,76;1.922,76;1.922.760,00
21; Reparaciones, mantenimiento y conservación;740,8;740,8;740.800,00
22; Material, suministros y otros;3.591,28;3.591,28;3.591.280,00
23; Indemnizaciones por razón del servicio;561,22;561,22;561.220,00
24; Gastos de publicaciones;16,21;16,21;16.210,00
4;TRANSFERENCIAS CORRIENTES;8,5;8,5;8.500,00
49; Al exterior;8,5;8,5;8.500,00
6;INVERSIONES REALES;2.876,52;2.876,52;2.876.520,00
62; Inversión nueva asociada al funcionamiento operativo de los servicios;2.755,52;2.755,52;2.755.520,00
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;121;121;121.000,00
8;ACTIVOS FINANCIEROS;135,2;135,2;135.200,00
83; Concesión de préstamos fuera del Sector Público;135,2;135,2;135.200,00
;TOTAL;78.372,36;78.372,36;78.372.360,00
