Capítulo;Concepto;Importe (miles Euros);Importe (euros)
1;Gastos de Personal;68.519,87;68.519.870,00
;Altos cargos;1.617,04;1.617.040,00
;Personal eventual;1.631,94;1.631.940,00
;Funcionarios;48.432,30;48.432.300,00
;Laborales;6.718,60;6.718.600,00
;Incentivos al rendimiento;4.842,29;4.842.290,00
;L Productividad;4.825,76;4.825.760,00
;L Gratificaciones;16,53;16.530,00
;Cuotas y gastos sociales del empleador;5.277,70;5.277.700,00
;L Seguridad Social;4.379,15;4.379.150,00
;L Formación y perfeccionamiento;106,28;106.280,00
;L Acción social;572,27;572.270,00
2;Gastos Corrientes en Bienes y Servicios;6.832,27;6.832.270,00
;Arrendamientos y cánones;1.922,76;1.922.760,00
;L Edificios y construcciones;1.922,76;1.922.760,00
;Reparaciones y mantenimiento;740,8;740.800,00
;Material y suministros;3.591,28;3.591.280,00
;L Labores FNMT;3,99;3.990,00
;L Locales;250;250.000,00
;L Atenciones protocolarias;25;25.000,00
;Indemnizaciones por razón del servicio;561,22;561.220,00
;Publicaciones;16,21;16.210,00
4;Transferencias Corrientes;8,5;8.500,00
;L Cuota España a INTOSAI y OLACEFS;8,5;8.500,00
6;Inversiones Reales;2.876,52;2.876.520,00
8;Activos Financieros;135,2;135.200,00
;L Préstamos a largo plazo fuera del sector público;135,2;135.200,00
;TOTAL Tribunal, Fiscalía y Servicios Generales;78.372,36;78.372.360,00
