Servicio;Programa;Económica;Explicación;Total (miles €);Total (€)
1;261M;10;Altos cargos;151,94;151.940,00
1;261M;11;Personal eventual;194,97;194.970,00
1;261M;12;Funcionarios;1.886,09;1.886.090,00
1;261M;15;Incentivos al rendimiento;1.206,00;1.206.000,00
1;261M;150;Productividad;1.144,00;1.144.000,00
1;261M;151;Gratificaciones;62;62.000,00
1;261M;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;530;530.000,00
—;—;—;TOTAL GASTOS DE PERSONAL;3.969,00;3.969.000,00
1;261M;22;Material, suministros y otros;35;35.000,00
1;261M;226;Gastos diversos;35;35.000,00
1;261M;22601;Atenciones protocolarias y representativas;20;20.000,00
1;261M;22606;Reuniones, conferencias y cursos;15;15.000,00
1;261M;23;Indemnizaciones por razón del servicio;250;250.000,00
1;261M;230;Dietas;200;200.000,00
1;261M;231;Locomoción;50;50.000,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;285;285.000,00
—;—;—;TOTAL Dirección y Servicios Generales de Vivienda y Agenda Urbana;4.254,00;4.254.000,00
—;—;—;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;4.254,00;4.254.000,00
9;261N;10;Altos cargos;61,04;61.040,00
9;261N;12;Funcionarios;1.847,43;1.847.430,00
9;261N;13;Laborales;73,86;73.860,00
9;261N;16;Cuotas, prestaciones y gastos sociales;200;200.000,00
—;—;—;TOTAL GASTOS DE PERSONAL;2.182,33;2.182.330,00
9;261N;22;Material, suministros y otros;241,3;241.300,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;241,3;241.300,00
9;261N;35;Gastos financieros (Línea ICO y otros);1.630,00;1.630.000,00
—;—;—;TOTAL GASTOS FINANCIEROS;1.630,00;1.630.000,00
9;261N;44–48;Transferencias corrientes (ICO, COVID-19, arrendatarios);3.000,00;3.000.000,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;3.000,00;3.000.000,00
9;261N;64;Inversiones inmateriales;350;350.000,00
—;—;—;TOTAL INVERSIONES REALES;350;350.000,00
9;261N;74–78;Transferencias de capital (SEPES, CCAA, locales, familias);691.948,12;691.948.120,00
—;—;—;TOTAL TRANSFERENCIAS DE CAPITAL;691.948,12;691.948.120,00
9;261N;87;Activos financieros (SEPES – Plan alquiler asequible);260.000,00;260.000.000,00
—;—;—;TOTAL ACTIVOS FINANCIEROS;260.000,00;260.000.000,00
9;261N;94;Pasivos financieros (devolución de fianzas);165;165.000,00
—;—;—;TOTAL PASIVOS FINANCIEROS;165;165.000,00
—;—;—;TOTAL Programa 261N;959.516,75;959.516.750,00
9;261P;12;Funcionarios;299,35;299.350,00
9;261P;16;Cuotas, prestaciones y gastos sociales;42,5;42.500,00
—;—;—;TOTAL GASTOS DE PERSONAL;341,85;341.850,00
9;261P;22;Material, suministros y otros;120;120.000,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;120;120.000,00
9;261P;64;Inversiones inmateriales;333,84;333.840,00
—;—;—;TOTAL INVERSIONES REALES;333,84;333.840,00
9;261P;75–78;Transferencias de capital (CCAA, locales, familias);4.475,00;4.475.000,00
—;—;—;TOTAL TRANSFERENCIAS DE CAPITAL;4.475,00;4.475.000,00
—;—;—;TOTAL Programa 261P;5.270,69;5.270.690,00
9;;;Dirección General de Vivienda y Suelo;964.787,44;964.787.440,00
;;;;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;
10;261O;10;Altos cargos;61,04;61.040,00
10;261O;12;Funcionarios;1.404,58;1.404.580,00
10;261O;13;Laborales;101,5;101.500,00
10;261O;16;Cuotas, prestaciones y gastos sociales;210;210.000,00
—;—;—;TOTAL GASTOS DE PERSONAL;1.777,12;1.777.120,00
10;261O;22;Material, suministros y otros;972,25;972.250,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;972,25;972.250,00
10;261O;48;Transferencias corrientes a familias e instituciones;300;300.000,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;300;300.000,00
10;261O;61–64;Inversiones reales (infraestructuras e inmateriales);24.450,00;24.450.000,00
—;—;—;TOTAL INVERSIONES REALES;24.450,00;24.450.000,00
10;261O;74–78;Transferencias de capital (sector público, CCAA, locales, etc.);2.942,45;2.942.450,00
—;—;—;TOTAL TRANSFERENCIAS DE CAPITAL;2.942,45;2.942.450,00
—;—;—;TOTAL Programa 261O;30.441,82;30.441.820,00
10;261P;12;Funcionarios;437,39;437.390,00
10;261P;16;Cuotas, prestaciones y gastos sociales;55;55.000,00
—;—;—;TOTAL GASTOS DE PERSONAL;492,39;492.390,00
10;261P;22;Material, suministros y otros;254;254.000,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;254;254.000,00
10;261P;48–49;Transferencias corrientes (Agenda Urbana, organismos internacionales);105;105.000,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;105;105.000,00
10;261P;64;Inversiones inmateriales;50;50.000,00
—;—;—;TOTAL INVERSIONES REALES;50;50.000,00
10;261P;76–79;Transferencias de capital (locales, familias, exterior);550;550.000,00
—;—;—;TOTAL TRANSFERENCIAS DE CAPITAL;550;550.000,00
—;—;—;TOTAL Programa 261P;1.451,39;1.451.390,00
10;000X;73;Transferencias de capital a otras entidades del Sector Público;900;900.000,00
—;—;—;TOTAL Programa 000X;900;900.000,00
10;;;Dirección General de Agenda Urbana y Arquitectura;32.793,21;32.793.210,00
