;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por servicios y artículos del presupuesto de gastos;
;;
;Sección: 25 MINISTERIO DE VIVIENDA Y AGENDA URBANA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;25.01;25.09;25.10;25.50;;Total;
1;GASTOS DE PERSONAL;3.969,00;2.524,18;2.269,51;;;8.762,69;
10; Altos cargos;151,94;61,04;61,04;;;274,02;
11; Personal eventual;194,97;;;;;194,97;
12; Funcionarios;1.886,09;2.146,78;1.841,97;;;5.874,84;
13; Laborales;;73,86;101,50;;;175,36;
15; Incentivos al rendimiento;1.206,00;;;;;1.206,00;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;530,00;242,50;265,00;;;1.037,50;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;285,00;361,30;1.226,25;;;1.872,55;
22; Material, suministros y otros;35,00;361,30;1.226,25;;;1.622,55;
23; Indemnizaciones por razón del servicio;250,00;;;;;250,00;
3;GASTOS FINANCIEROS;;1.630,00;;;;1.630,00;
35; Intereses de demora y otros gastos financieros;;1.630,00;;;;1.630,00;
4;TRANSFERENCIAS CORRIENTES;;3.000,00;405,00;;;3.405,00;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;2.000,00;;;;2.000,00;
48; A familias e instituciones sin fines de lucro;;1.000,00;360,00;;;1.360,00;
49; Al exterior;;;45,00;;;45,00;
6;INVERSIONES REALES;;683,84;24.500,00;;;25.183,84;
61; Inversión de reposición en infraestructuras y bienes destinados al uso general;;;24.000,00;;;24.000,00;
64; Gastos de inversiones de carácter inmaterial;;683,84;500,00;;;1.183,84;
7;TRANSFERENCIAS DE CAPITAL;;696.423,12;3.492,45;1.380.000,00;;2.079.915,57;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;185,00;256,49;;;441,49;
75; A Comunidades Autónomas;;596.119,00;206,49;1.380.000,00;;1.976.325,49;
76; A Entidades Locales;;36.919,12;286,49;;;37.205,61;
77; A empresas privadas;;;6,49;;;6,49;
78; A familias e instituciones sin fines de lucro;;63.200,00;2.626,49;;;65.826,49;
79; Al exterior;;;110,00;;;110,00;
8;ACTIVOS FINANCIEROS;;260.000,00;;1.100.000,00;;1.360.000,00;
82; Concesión de préstamos al Sector Público;;;;1.100.000,00;;1.100.000,00;
87; Aportaciones patrimoniales;;260.000,00;;;;260.000,00;
9;PASIVOS FINANCIEROS;;165,00;;;;165,00;
94; Devolución de depósitos y fianzas;;165,00;;;;165,00;
;TOTAL CONSOLIDADO;4.254,00;964.787,44;31.893,21;2.480.000,00;;3.480.934,65;
7;TRANSFERENCIAS DE CAPITAL;;;900,00;;;900,00;
73; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;;900,00;;;900,00;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;900,00;;;900,00;
;TOTAL;4.254,00;964.787,44;32.793,21;2.480.000,00;;3.481.834,65;
;;



