Económica;Explicación;Secc. 12;Secc. 13;Secc. 14;Secc. 15;Secc. 17;Secc. 18;Secc. 19;Secc. 23;Secc. 24;Secc. 26;Secc. 27;Secc. 28;Secc. 33;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;120.934,87;32.296,79;216.651,66;1.036.232,39;30.204,23;1.888,94;4.414,06;71.452,13;42.526,03;29.660,17;35.947,14;518.541,64;2.463,70;2.143.213,75;2.143.213.750,00
10;Altos cargos;314,83;236,65;–;1.169,34;194,38;76,65;193,29;889,96;276,46;87,23;1.187,50;179,77;113,9;4.919,96;4.919.960,00
11;Personal eventual;–;–;–;–;–;1.291,70;–;–;160,38;–;–;–;–;1.452,08;1.452.080,00
12;Funcionarios;15.390,82;13.879,96;216.651,66;823.994,76;21.902,08;705,76;–;52.326,92;4.108,11;19.448,92;9.638,08;301.362,06;1.829,17;1.481.238,30;1.481.238.300,00
13;Laborales;79.140,57;10.145,25;–;43.767,85;840,93;455,9;2.907,10;3.677,32;28.594,13;2.418,15;16.946,43;84.231,93;–;273.125,56;273.125.560,00
14;Otro personal;–;–;–;–;–;346,05;1.389,43;–;–;–;–;–;–;1.735,48;1.735.480,00
15;Incentivos al rendimiento;1.217,48;1.800,67;–;88.522,33;2.467,65;142,14;–;4.642,35;353,61;2.032,69;1.490,33;30.177,75;200,71;133.047,71;133.047.710,00
16;Cuotas, prestaciones y gastos sociales;24.871,17;6.234,26;–;78.778,11;4.799,19;508,49;967,62;7.234,45;9.193,72;5.673,18;6.524,42;102.590,13;319,92;247.694,66;247.694.660,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;108.118,89;14.564,67;56.929,09;265.002,84;56.368,09;3.790,66;2.017,82;40.927,57;38.634,50;23.374,06;21.216,49;252.120,74;824,68;883.890,10;883.890.100,00
20;Arrendamientos y cánones;17.182,91;2.213,45;–;26.889,93;75,94;140;32,92;2.258,27;773,00;4.156,26;165,12;6.734,65;220;60.842,45;60.842.450,00
21;Reparaciones, mantenimiento y conservación;3.977,21;2.624,48;–;32.282,20;7.481,85;23,8;309,41;12.551,93;3.664,00;1.071,15;1.010,93;22.241,39;7;87.245,35;87.245.350,00
22;Material, suministros y otros;81.499,75;6.726,38;56.929,09;197.710,71;47.266,90;1.617,57;1.533,76;23.667,19;33.372,50;16.814,90;19.053,71;201.990,57;551,48;688.734,51;688.734.510,00
23;Indemnizaciones por razón del servicio;5.117,02;312,20;–;8.110,00;1.543,40;92,75;55,7;2.200,18;175,00;1.246,99;986,73;20.227,87;27;40.094,84;40.094.840,00
24;Gastos de publicaciones;342,00;1,00;–;10,00;–;0,50;86,03;250,00;650,00;84,76;–;926,26;19,2;2.369,75;2.369.750,00
27;Compras, suministros y otros gastos;–;2.687,16;–;–;–;–;–;–;–;–;–;–;–;2.687,16;2.687.160,00
29;Mecanismo de Recuperación y Resiliencia;–;–;–;–;–;–;–;–;–;–;–;1.916,04;–;1.916,04;1.916.040,00
3;GASTOS FINANCIEROS;719,70;328,95;–;80,00;10,00;–;–;471,00;12;–;298,5;1.746,18;1;3.667,33;3.667.330,00
31;De préstamos en euros;–;–;–;–;10;–;–;–;–;–;–;–;–;10;10.000,00
35;Intereses de demora y otros gastos financieros;719,7;328,95;–;70;–;–;–;471;12;–;298,5;1.746,18;1;3.657,33;3.657.330,00
4;TRANSFERENCIAS CORRIENTES;558.442,90;389,6;–;1.200,80;230,84;632,87;1.512,45;11.030,69;518;1.767,00;110.690,38;11.377,23;10;697.802,76;697.802.760,00
44;A Sociedades, Entidades Públicas Empresariales, Fundaciones…;7.933,00;–;–;80;–;–;–;–;–;–;110.000,00;1.046,91;–;119.059,91;119.059.910,00
45;A Comunidades Autónomas;–;273;–;60,00;–;100;–;265,00;–;168,00;5.040,24;–;–;5.906,24;5.906.240,00
46;A Entidades Locales;55,00;–;–;–;–;–;–;–;–;–;–;–;–;55;55.000,00
47;A empresas privadas;–;–;–;80;2,1;–;–;–;–;–;–;–;–;82,1;82.100,00
48;A familias e instituciones sin fines de lucro;136.591,19;116,6;–;820,8;228,74;–;1.512,45;932,58;515;1.519,00;502,08;2.066,89;10;144.815,33;144.815.330,00
49;Al exterior;413.863,71;–;–;160;–;532,87;–;9.833,11;3;80;188,3;3.223,19;–;427.884,18;427.884.180,00
6;INVERSIONES REALES;14.103,12;2.814,27;63.124,85;103.191,79;12.266,94;318,93;1.249,97;21.196,00;34.716,10;3.881,39;4.079,74;456.736,15;77;717.756,25;717.756.250,00
62;Inversión nueva asociada al funcionamiento operativo;9.744,83;1.147,89;–;170,00;171,87;20,54;101,75;5.339,02;10.350,00;1.995,00;1.048,01;105.680,00;27;135.795,91;135.795.910,00
63;Inversión de reposición asociada al funcionamiento operativo;4.358,29;866,38;60.177,29;102.991,79;2.107,33;46;1.058,22;10.625,98;24.200,00;1.886,39;115,00;30.805,00;–;239.237,67;239.237.670,00
64;Gastos de inversiones de carácter inmaterial;–;800;–;30,00;9.987,74;39,59;90,00;2.731,00;166,10;–;2.916,73;170.524,16;50;187.335,32;187.335.320,00
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;–;–;2.947,56;–;212,80;–;–;2.500,00;–;–;–;149.726,99;–;155.387,35;155.387.350,00
7;TRANSFERENCIAS DE CAPITAL;45.157,02;–;50;–;–;–;–;36.444,44;–;–;3.514.141,75;1.300.872,28;–;4.896.665,49;4.896.665.490,00
74;A Sociedades, Entidades Públicas Empresariales, Fundaciones…;–;–;–;–;–;–;–;–;–;–;21.950,05;–;–;21.950,05;21.950.050,00
75;A Comunidades Autónomas;–;–;–;–;–;–;–;–;–;–;–;1.138.963,46;–;1.140.383,46;1.140.383.460,00
76;A Entidades Locales;–;–;–;–;–;–;–;–;–;–;–;380,82;–;380,82;380.820,00
77;A empresas privadas;–;–;–;–;–;–;–;–;–;–;3.514.141,75;18.421,30;–;3.532.563,05;3.532.563.050,00
78;A familias e instituciones sin fines de lucro;–;–;–;–;–;–;–;–;–;–;–;121.156,65;–;121.156,65;121.156.650,00
79;Al exterior;45.157,02;–;50;–;–;–;–;35.024,44;–;–;–;–;–;80.231,46;80.231.460,00
8;ACTIVOS FINANCIEROS;136;151,2;300;744,97;5,77;12,49;26,55;168;152,8;80;60,4;348,27;3;2.189,45;2.189.450,00
82;Concesión de préstamos al Sector Público;–;–;–;–;–;–;–;–;–;–;–;15;–;15;15.000,00
83;Concesión de préstamos fuera del Sector Público;121;151,2;300;744,97;5,77;12,49;26,55;167;152,8;80;60,4;333,27;3;2.158,45;2.158.450,00
84;Constitución de depósitos y fianzas;15,00;–;–;–;–;–;–;1,00;–;–;–;–;–;16;16.000,00
9;PASIVOS FINANCIEROS;–;–;–;–;–;–;–;–;–;–;–;1.177,64;–;1.177,64;1.177.640,00
91;Amortización de préstamos en euros;–;–;–;–;–;–;–;–;–;–;–;1.177,64;–;1.177,64;1.177.640,00
4;TRANSFERENCIAS CORRIENTES;–;1.319,70;–;–;1.094,63;–;–;968,31;–;21.763,26;–;1.494,31;–;26.640,21;26.640.210,00
40;A la Administración del Estado;–;1.319,70;–;–;1.094,63;–;–;968,31;–;21.763,26;–;–;–;25.145,90;25.145.900,00
41;A Organismos Autónomos;–;–;–;–;–;–;–;–;–;–;–;1.494,31;–;1.494,31;1.494.310,00
7;TRANSFERENCIAS DE CAPITAL;–;–;–;–;–;–;–;–;–;–;–;88.686,40;–;88.686,40;88.686.400,00
71;A Organismos Autónomos;–;–;–;–;–;–;–;–;–;–;–;6.657,81;–;6.657,81;6.657.810,00
73;A otras entidades del Sector Público Administrativo;–;–;–;–;–;–;–;–;–;–;–;82.028,59;–;82.028,59;82.028.590,00
;TOTAL CONSOLIDADO;847.612,50;51.865,18;337.055,60;1.406.452,79;100.180,50;6.643,89;9.220,85;182.658,14;116.559,43;80.525,88;3.686.434,40;2.633.100,84;3.379,38;9.345.185,13;9.345.185.130,00
