;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Resumen general por organismos y artículos del presupuesto de gastos;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;15.101;15.104;15.107;;;Total;
1;GASTOS DE PERSONAL;20.907,73;3.193,99;42.124,57;;;66.226,29;
10; Altos cargos;61,05;;61,05;;;122,10;
12; Funcionarios;14.990,97;2.488,38;3.753,92;;;21.233,27;
13; Laborales;603,77;45,30;26.751,66;;;27.400,73;
15; Incentivos al rendimiento;964,36;243,04;1.679,35;;;2.886,75;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;4.287,58;417,27;9.878,59;;;14.583,44;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;11.760,93;4.443,20;4.783,23;;;20.987,36;
20; Arrendamientos y cánones;59,98;;;;;59,98;
21; Reparaciones, mantenimiento y conservación;326,09;719,90;1.399,00;;;2.444,99;
22; Material, suministros y otros;1.741,29;3.532,30;3.187,23;;;8.460,82;
23; Indemnizaciones por razón del servicio;6.584,60;185,00;197,00;;;6.966,60;
24; Gastos de publicaciones;107,97;6,00;;;;113,97;
29; Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;2.941,00;;;;;2.941,00;
3;GASTOS FINANCIEROS;6,75;90,15;25,00;;;121,90;
35; Intereses de demora y otros gastos financieros;6,75;90,15;25,00;;;121,90;
4;TRANSFERENCIAS CORRIENTES;396,19;;;;;396,19;
48; A familias e instituciones sin fines de lucro;396,19;;;;;396,19;
6;INVERSIONES REALES;1.430,00;990,57;1.500,00;;;3.920,57;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;37,53;200,00;235,00;;;472,53;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;952,47;136,57;1.265,00;;;2.354,04;
64; Gastos de inversiones de carácter inmaterial;440,00;654,00;;;;1.094,00;
8;ACTIVOS FINANCIEROS;71,48;;101,52;;;173,00;
83; Concesión de préstamos fuera del Sector Público;71,48;;101,52;;;173,00;
;TOTAL CONSOLIDADO;34.573,08;8.717,91;48.534,32;;;91.825,31;
4;TRANSFERENCIAS CORRIENTES;;21.453,66;;;;21.453,66;
40; A la Administración del Estado;;21.453,66;;;;21.453,66;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;21.453,66;;;;21.453,66;
;TOTAL;34.573,08;30.171,57;48.534,32;;;113.278,97;
;;



