Económica;Explicación;15.101;15.104;15.107;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;20.907,73;3.193,99;42.124,57;66.226,29;66.226.290,00
10;Altos cargos;61,05;–;61,05;122,1;122.100,00
12;Funcionarios;14.990,97;2.488,38;3.753,92;21.233,27;21.233.270,00
13;Laborales;603,77;45,3;26.751,66;27.400,73;27.400.730,00
15;Incentivos al rendimiento;964,36;243,04;1.679,35;2.886,75;2.886.750,00
16;Cuotas, prestaciones y gastos sociales;4.287,58;417,27;9.878,59;14.583,44;14.583.440,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;11.761;4.443;4.783;20.987,36;20.987.360,00
20;Arrendamientos y cánones;59,98;–;–;59,98;59.980,00
21;Reparaciones, mantenimiento y conservación;326,09;719,9;1.399,00;2.444,99;2.444.990,00
22;Material, suministros y otros;1.741,29;3.532,30;3.187,23;8.460,82;8.460.820,00
23;Indemnizaciones por razón del servicio;6.584,60;185;197,00;6.966,60;6.966.600,00
24;Gastos de publicaciones;107,97;6;–;113,97;113.970,00
29;Mecanismo de Recuperación y Resiliencia;2.941,00;–;–;2.941,00;2.941.000,00
3;GASTOS FINANCIEROS;6,75;90,15;25,00;121,9;121.900,00
4;TRANSFERENCIAS CORRIENTES;396,19;–;–;396,19;396.190,00
6;INVERSIONES REALES;1.430,00;990,57;1.500,00;3.920,57;3.920.570,00
62;Inversión nueva;37,53;200,00;235,00;472,53;472.530,00
63;Inversión de reposición;952,47;136,57;1.265,00;2.354,04;2.354.040,00
64;Inversiones inmateriales;440;654;–;1.094,00;1.094.000,00
8;ACTIVOS FINANCIEROS;71,48;–;101,52;173;173.000,00
—;TOTAL CONSOLIDADO;34.573,08;8.717,91;48.534,32;91.825,31;91.825.310,00
4;TRANSFERENCIAS CORRIENTES;–;21.453,66;–;21.453,66;21.453.660,00
40;A la Administración del Estado;–;21.453,66;–;21.453,66;21.453.660,00
15.101;Instituto de Estudios Fiscales;;;;34.573,08;34.573.080,00
15.104;Comisionado para el Mercado de Tabacos;;;;30.171,57;30.171.570,00
15.107;Parque Móvil del Estado;;;;48.534,32;48.534.320,00
—;TOTAL Sección 15 – Organismos Autónomos;;;;113278,97;113278970
