Económica;Explicación;31.01;31.02;31.03;31.04;31.50;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;8.040,49;953,01;253,2;2.043,23;—;11.289,93;11.289.930
10;Altos cargos;208,56;61,04;—;61,04;—;330,64;330.640
11;Personal eventual;518,37;—;253,2;—;—;771,57;771.570
12;Funcionarios;3.741,11;679,97;—;1.133,87;—;5.554,95;5.554.950
13;Laborales;—;—;—;482,19;—;482,19;482.190
15;Incentivos al rendimiento;2.601,16;—;—;—;—;2.601,16;2.601.160
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;971,29;212;—;366,13;—;1.549,42;1.549.420
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;887,68;34,84;—;2.285,62;—;3.208,14;3.208.140
20;Arrendamientos y cánones;773;—;—;—;—;773;773.000
22;Material, suministros y otros;114,68;12,34;—;2.262,40;—;2.389,42;2.389.420
23;Indemnizaciones por razón del servicio;—;22,5;—;23,22;—;45,72;45.720
4;TRANSFERENCIAS CORRIENTES;—;—;—;36.748,61;—;36.748,61;36.748.610
45;A Comunidades Autónomas;—;—;—;35.000,00;—;35.000,00;35.000.000
46;A Entidades Locales;—;—;—;0,01;—;0,01;10
48;A familias e instituciones sin fines de lucro;—;—;—;1.748,60;—;1.748,60;1.748.600
6;INVERSIONES REALES;5;—;—;—;7.000,00;7.005,00;7.005.000
62;Inversión nueva operativa;5;—;—;—;—;5,00;5.000
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;—;—;—;—;7.000,00;7.000,00;7.000.000
7;TRANSFERENCIAS DE CAPITAL;—;—;—;52,00;90.000,00;90.052,00;90.052.000
75;A Comunidades Autónomas;—;—;—;—;40.000,00;40.000,00;40.000.000
76;A Entidades Locales;—;—;—;52;30.000,00;30.052,00;30.052.000
78;A familias e instituciones sin fines de lucro;—;—;—;—;20.000,00;20.000,00;20.000.000
—;TOTAL CONSOLIDADO;8.933,17;987,85;253,2;41.129,46;97.000,00;148.303,68;148.303.680
4;TRANSFERENCIAS CORRIENTES (entre subsectores);—;—;—;12.311,64;—;12.311,64;12.311.640
41;A Organismos Autónomos;—;—;—;12.311,64;—;12.311,64;12.311.640
7;TRANSFERENCIAS DE CAPITAL (entre subsectores);—;—;—;247,22;—;247,22;247.220
71;A Organismos Autónomos;—;—;—;247,22;—;247,22;247.220
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;—;—;—;12.558,86;—;12.558,86;12.558.860
—;TOTAL MINISTERIO DE JUVENTUD E INFANCIA;8.933,17;987,85;253,2;53.688,32;97.000,00;160.862,54;160.862.540
