;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 31 MINISTERIO DE JUVENTUD E INFANCIA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
v;;232N;;Dirección y Servicios Generales de Juventud e Infancia;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;208,56;
;;;100;Retribuciones básicas y otras remuneraciones;;208,56;
;;;10000; Retribuciones básicas;114,61;;
;;;10001; Retribuciones complementarias;93,95;;
v;;;11;Personal eventual;;518,37;
;;;110;Retribuciones básicas y otras remuneraciones;;518,37;
;;;11000; Retribuciones básicas;199,19;;
;;;11001; Retribuciones complementarias;319,18;;
v;;;12;Funcionarios;;3.741,11;
;;;120;Retribuciones básicas;;563,77;
;;;12001; Sueldos del grupo A2 y grupo B;73,09;;
;;;12002; Sueldos del grupo C1 y grupo C;90,59;;
;;;12003; Sueldos del grupo C2 y grupo D;14,90;;
;;;12005; Trienios;143,34;;
;;;12006; Pagas extraordinarias;241,85;;
;;;121;Retribuciones complementarias;;3.063,86;
;;;12100; Complemento de destino;675,87;;
;;;12101; Complemento específico;994,99;;
;;;12181; Necesidades adicionales;1.393,00;;
;;;123;Indemnizaciones percibidas por destino en el extranjero;;113,48;
v;;;15;Incentivos al rendimiento;;2.601,16;
v;;;150;Productividad;;2.582,59;
v;;;151;Gratificaciones;;18,57;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;971,29;
;;;160;Cuotas sociales;;865,57;
v;;;16000; Seguridad Social;865,57;;
;;;162;Gastos sociales del personal;;105,72;
v;;;16200; Formación y perfeccionamiento del personal;38,72;;
v;;;16204; Acción social;45,00;;
;;;16209; Otros;22,00;;
;;;;TOTAL GASTOS DE PERSONAL;;8.040,49;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;20;Arrendamientos y cánones;;773,00;
v;;;202;Arrendamientos de edificios y otras construcciones;;768,00;
;;;206;Arrendamientos de equipos para procesos de información;;5,00;
v;;;22;Material, suministros y otros;;114,68;
;;;226;Gastos diversos;;114,68;
v;;;22601; Atenciones protocolarias y representativas;64,68;;
;;;22606; Reuniones, conferencias y cursos;50,00;;
