Servicio;Programa;Económica;Explicación;Total (miles euros);Total (euros)
1;232N;10;Altos cargos;208,56;208.560
1;232N;100;Retribuciones básicas y otras remuneraciones;208,56;208.560
1;232N;10000;Retribuciones básicas;114,61;114.610
1;232N;10001;Retribuciones complementarias;93,95;93.950
1;232N;11;Personal eventual;518,37;518.370
1;232N;11000;Retribuciones básicas;199,19;199.190
1;232N;11001;Retribuciones complementarias;319,18;319.180
1;232N;12;Funcionarios;3.741,11;3.741.110
1;232N;120;Retribuciones básicas;563,77;563.770
1;232N;12001;Sueldos grupo A2 y B;73,09;73.090
1;232N;12002;Sueldos grupo C1 y C;90,59;90.590
1;232N;12003;Sueldos grupo C2 y D;14,9;14.900
1;232N;12005;Trienios;143,34;143.340
1;232N;12006;Pagas extraordinarias;241,85;241.850
1;232N;121;Retribuciones complementarias;3.063,86;3.063.860
1;232N;12100;Complemento de destino;675,87;675.870
1;232N;12101;Complemento específico;994,99;994.990
1;232N;12181;Necesidades adicionales;1.393,00;1.393.000
1;232N;123;Indemnizaciones por destino en el extranjero;113,48;113.480
1;232N;15;Incentivos al rendimiento;2.601,16;2.601.160
1;232N;150;Productividad;2.582,59;2.582.590
1;232N;151;Gratificaciones;18,57;18.570
1;232N;16;Cuotas, prestaciones y gastos sociales;971,29;971.290
1;232N;160;Cuotas sociales;865,57;865.570
1;232N;16000;Seguridad Social;865,57;865.570
1;232N;162;Gastos sociales del personal;105,72;105.720
1;232N;16200;Formación y perfeccionamiento;38,72;38.720
1;232N;16204;Acción social;45;45.000
1;232N;16209;Otros;22;22.000
—;—;—;TOTAL GASTOS DE PERSONAL;8.040,49;8.040.490
1;232N;20;Arrendamientos y cánones;773;773.000,00
1;232N;202;Arrendamientos de edificios y construcciones;768;768.000
1;232N;206;Arrendamientos de equipos informáticos;5;5.000
1;232N;22;Material, suministros y otros;114,68;114.680
1;232N;226;Gastos diversos;114,68;114.680
1;232N;22601;Atenciones protocolarias y representativas;64,68;64.680
1;232N;22606;Reuniones, conferencias y cursos;50;50.000
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;887,68;887.680
1;232N;62;Inversión nueva operativa;5;5.000
1;232N;620;Inversión nueva asociada al funcionamiento operativo;5;5.000
—;—;—;TOTAL INVERSIONES REALES;5;5.000
—;—;—;TOTAL Dirección y Servicios Generales de Juventud e Infancia;8.933,17;8.933.170
—;—;—;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;8.933,17;8.933.170
2;232N;10;Altos cargos;61,04;61.040
2;232N;100;Retribuciones básicas y otras remuneraciones;61,04;61.040
2;232N;10000;Retribuciones básicas;18,91;18.910
2;232N;10001;Retribuciones complementarias;42,13;42.130
2;232N;12;Funcionarios;679,97;679.970
2;232N;120;Retribuciones básicas;228,33;228.330
2;232N;12000;Sueldos grupo A1 y A;9,9;9.900
2;232N;12002;Sueldos grupo C1 y C;38,6;38.600
2;232N;12003;Sueldos grupo C2 y D;48,2;48.200
2;232N;12005;Trienios;44,99;44.990
2;232N;12006;Pagas extraordinarias;86,64;86.640
2;232N;121;Retribuciones complementarias;451,64;451.640
2;232N;12100;Complemento de destino;173,78;173.780
2;232N;12101;Complemento específico;277,86;277.860
2;232N;16;Cuotas, prestaciones y gastos sociales;212;212.000
2;232N;160;Cuotas sociales;212;212.000
2;232N;16000;Seguridad Social;212;212.000
—;—;—;TOTAL GASTOS DE PERSONAL;953,01;953.010
2;232N;22;Material, suministros y otros;12,34;12.340
2;232N;226;Gastos diversos;12,34;12.340
2;232N;22601;Atenciones protocolarias y representativas;2,34;2.340
2;232N;22606;Reuniones, conferencias y cursos;10;10.000
2;232N;23;Indemnizaciones por razón del servicio;22,5;22.500
2;232N;231;Locomoción;22,5;22.500
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;34,84;34.840
—;—;—;TOTAL Dirección y Servicios Generales de Juventud e Infancia;987,85;987.850
—;—;—;TOTAL SECRETARÍA GENERAL TÉCNICA;987,85;987.850
3;231G;11;Personal eventual;253,2;253.200
3;231G;110;Retribuciones básicas y otras remuneraciones;253,2;253.200
3;231G;11000;Retribuciones básicas;86,41;86.410
3;231G;11001;Retribuciones complementarias;166,79;166.790
—;—;—;TOTAL GASTOS DE PERSONAL;253,2;253.200
—;—;—;TOTAL Atención a la infancia y a las familias;253,2;253.200
—;—;—;TOTAL SECRETARÍA DE ESTADO DE JUVENTUD E INFANCIA;253,2;253.200
4;231G;10;Altos cargos;61,04;61.040
4;231G;100;Retribuciones básicas y otras remuneraciones;61,04;61.040
4;231G;10000;Retribuciones básicas;18,91;18.910
4;231G;10001;Retribuciones complementarias;42,13;42.130
4;231G;12;Funcionarios;1.133,87;1.133.870
4;231G;120;Retribuciones básicas;563,22;563.220
4;231G;121;Retribuciones complementarias;570,65;570.650
4;231G;13;Laborales;482,19;482.190
4;231G;130;Laboral fijo;482,19;482.190
4;231G;16;Cuotas sociales;366,13;366.130
4;231G;16000;Seguridad Social;366,13;366.130
—;—;—;TOTAL GASTOS DE PERSONAL;2.043,23;2.043.230
4;231G;22;Material, suministros y otros;2.262,40;2.262.400
4;231G;226;Gastos diversos;1.412,40;1.412.400
4;231G;227;Trabajos realizados por otras empresas y profesionales;850;850.000
4;231G;23;Indemnizaciones por razón del servicio;23,22;23.220
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.285,62;2.285.620
4;231G;45;A Comunidades Autónomas;35.000,00;35.000.000
4;231G;46;A Entidades Locales;0,01;10
4;231G;48;A familias e instituciones sin fines de lucro;1.748,60;1.748.600
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;36.748,61;36.748.610
4;231G;76;A Entidades Locales;52;52.000
—;—;—;TOTAL TRANSFERENCIAS DE CAPITAL;52;52.000
—;—;—;TOTAL Atención a la infancia y a las familias;41.129,46;41.129.460
4;000X;41;A Organismos Autónomos;12.311,64;12.311.640
4;000X;71;A Organismos Autónomos;247,22;247.220
—;—;—;TOTAL Transferencias y libramientos internos;12.558,86;12.558.860
—;—;—;TOTAL DIRECCIÓN GENERAL DE DERECHOS DE LA INFANCIA Y LA ADOLESCENCIA;53.688,32;53.688.320
50;46SA;69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;7.000,00;7.000.000
50;46SA;694;Gastos de inversiones de carácter inmaterial. MRR;7.000,00;7.000.000
—;—;—;TOTAL INVERSIONES REALES;7.000,00;7.000.000
50;46SA;75;A Comunidades Autónomas;40.000,00;40.000.000
50;46SA;751;Formación en competencias digitales — CC.AA.;40.000,00;40.000.000
50;46SA;76;A Entidades Locales;30.000,00;30.000.000
50;46SA;761;Formación en competencias digitales — Entidades Locales;30.000,00;30.000.000
50;46SA;78;A familias e instituciones sin fines de lucro;20.000,00;20.000.000
50;46SA;781;Formación en competencias digitales — Instituciones sin fines de lucro;20.000,00;20.000.000
—;—;—;TOTAL TRANSFERENCIAS DE CAPITAL;90.000,00;90.000.000
—;—;—;TOTAL C19.I01 Competencias digitales transversales. I+D+i+Digitalización;97.000,00;97.000.000
—;—;—;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;97.000,00;97.000.000
;;;TOTAL MINISTERIO DE JUVENTUD E INFANCIA;160.862,54;160.862.540
