;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por servicios y artículos del presupuesto de gastos;
;;
;Sección: 31 MINISTERIO DE JUVENTUD E INFANCIA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;31.01;31.02;31.03;31.04;31.50;Total;
1;GASTOS DE PERSONAL;8.040,49;953,01;253,20;2.043,23;;11.289,93;
10; Altos cargos;208,56;61,04;;61,04;;330,64;
11; Personal eventual;518,37;;253,20;;;771,57;
12; Funcionarios;3.741,11;679,97;;1.133,87;;5.554,95;
13; Laborales;;;;482,19;;482,19;
15; Incentivos al rendimiento;2.601,16;;;;;2.601,16;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;971,29;212,00;;366,13;;1.549,42;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;887,68;34,84;;2.285,62;;3.208,14;
20; Arrendamientos y cánones;773,00;;;;;773,00;
22; Material, suministros y otros;114,68;12,34;;2.262,40;;2.389,42;
23; Indemnizaciones por razón del servicio;;22,50;;23,22;;45,72;
4;TRANSFERENCIAS CORRIENTES;;;;36.748,61;;36.748,61;
45; A Comunidades Autónomas;;;;35.000,00;;35.000,00;
46; A Entidades Locales;;;;0,01;;0,01;
48; A familias e instituciones sin fines de lucro;;;;1.748,60;;1.748,60;
6;INVERSIONES REALES;5,00;;;;7.000,00;7.005,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;5,00;;;;;5,00;
69; Inversiones reales. Mecanismo de Recuperación y Resiliencia;;;;;7.000,00;7.000,00;
7;TRANSFERENCIAS DE CAPITAL;;;;52,00;90.000,00;90.052,00;
75; A Comunidades Autónomas;;;;;40.000,00;40.000,00;
76; A Entidades Locales;;;;52,00;30.000,00;30.052,00;
78; A familias e instituciones sin fines de lucro;;;;;20.000,00;20.000,00;
;TOTAL CONSOLIDADO;8.933,17;987,85;253,20;41.129,46;97.000,00;148.303,68;
4;TRANSFERENCIAS CORRIENTES;;;;12.311,64;;12.311,64;
41; A Organismos Autónomos;;;;12.311,64;;12.311,64;
7;TRANSFERENCIAS DE CAPITAL;;;;247,22;;247,22;
71; A Organismos Autónomos;;;;247,22;;247,22;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;;12.558,86;;12.558,86;
;TOTAL;8.933,17;987,85;253,20;53.688,32;97.000,00;160.862,54;
;;



