;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 19 MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL;
;Programa: 223A Prestaciones de garantía salarial;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
19.102;;FONDO DE GARANTÍA SALARIAL;;;
;1;GASTOS DE PERSONAL;;;
;15;Incentivos al rendimiento;;953,72;
;150;Productividad;;849,06;
;151;Gratificaciones;;104,66;
;16000; Seguridad Social;2.229,58;;
;16200; Formación y perfeccionamiento del personal;35,79;;
;16201; Economatos y comedores;132,49;;
;16204; Acción social;87,00;;
;;TOTAL GASTOS DE PERSONAL;;18.630,43;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;202;Arrendamientos de edificios y otras construcciones;;618,96;
;22109; Labores Fábrica Nacional Moneda y Timbre;4,00;;
;22502; Locales;360,40;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;9.553,16;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;31;De préstamos en euros;;1,24;
;310;Intereses;;1,24;
;35;Intereses de demora y otros gastos financieros;;201,00;
;352;Intereses de demora;;200,00;
;359;Otros gastos financieros;;1,00;
;35909; Otros gastos financieros, incluso obligaciones de ejercicios anteriores;1,00;;
;;TOTAL GASTOS FINANCIEROS;;202,24;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;800.000,00;
;481;Pago prestaciones acordadas a trabajadores segun la legislación vigente, incluidas obligaciones de ejercicios anteriores;;800.000,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;800.000,00;
 ; ;;;;
;6;INVERSIONES REALES;;1.467,50;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;147,12;
;830;Préstamos a corto plazo;;30,00;
;831;Préstamos a largo plazo;;117,12;
;;TOTAL ACTIVOS FINANCIEROS;;147,12;
 ; ;;;;
;;TOTAL FONDO DE GARANTÍA SALARIAL;;830.000,45;
 ; ;;;;
 ; ;;;;
;;TOTAL Prestaciones de garantía salarial;;830.000,45;
;;



