Económica;Explicación;19.01;19.03;Total (miles €);Total (€)
1;Gastos de personal;48.258,59;4.395,68;52.654,27;52.654.270,00
10;Altos cargos;345,7;80,3;426;426.000,00
11;Personal eventual;798,26;253,32;1.051,58;1.051.580,00
12;Funcionarios;27.983,18;3.585,17;31.568,35;31.568.350,00
13;Laborales;10.476,24;—;10.476,24;10.476.240,00
15;Incentivos al rendimiento;3.381,84;—;3.381,84;3.381.840,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;5.273,37;476,89;5.750,26;5.750.260,00
2;Gastos corrientes en bienes y servicios;27.639,46;—;27.639,46;27.639.460,00
20;Arrendamientos y cánones;3.332,06;—;3.332,06;3.332.060,00
21;Reparaciones, mantenimiento y conservación;2.492,64;—;2.492,64;2.492.640,00
22;Material, suministros y otros;20.183,18;—;20.183,18;20.183.180,00
23;Indemnizaciones por razón del servicio;1.451,13;—;1.451,13;1.451.130,00
24;Gastos de publicaciones;180,45;—;180,45;180.450,00
3;Gastos financieros;43,66;—;43,66;43.660,00
35;Intereses de demora y otros gastos financieros;43,66;—;43,66;43.660,00
4;Transferencias corrientes;21.099,29;—;21.099,29;21.099.290,00
48;A familias e instituciones sin fines de lucro;21.099,29;—;21.099,29;21.099.290,00
6;Inversiones reales;17.401,09;—;17.401,09;17.401.090,00
62;Inversión nueva asociada al funcionamiento operativo;3.906,40;—;3.906,40;3.906.400,00
63;Inversión de reposición asociada al funcionamiento operativo;13.209,12;—;13.209,12;13.209.120,00
64;Gastos de inversiones de carácter inmaterial;285,57;—;285,57;285.570,00
8;Activos financieros;64,97;—;64,97;64.970,00
83;Concesión de préstamos fuera del Sector Público;19,97;—;19,97;19.970,00
84;Constitución de depósitos y fianzas;45;—;45;45.000,00
—;TOTAL PROGRAMA 281M – Dirección y Servicios Generales;114.507,06;4.395,68;118.902,74;118.902.740,00
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
