;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 19 MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL;
;Programa: 281M Dirección y Servicios Generales de Trabajo y Economía Social;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;19.01;19.03;Total;
1;GASTOS DE PERSONAL;48.258,59;4.395,68;52.654,27;
10; Altos cargos;345,70;80,30;426,00;
11; Personal eventual;798,26;253,32;1.051,58;
12; Funcionarios;27.983,18;3.585,17;31.568,35;
13; Laborales;10.476,24;;10.476,24;
15; Incentivos al rendimiento;3.381,84;;3.381,84;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;5.273,37;476,89;5.750,26;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;27.639,46;;27.639,46;
20; Arrendamientos y cánones;3.332,06;;3.332,06;
21; Reparaciones, mantenimiento y conservación;2.492,64;;2.492,64;
22; Material, suministros y otros;20.183,18;;20.183,18;
23; Indemnizaciones por razón del servicio;1.451,13;;1.451,13;
24; Gastos de publicaciones;180,45;;180,45;
3;GASTOS FINANCIEROS;43,66;;43,66;
35; Intereses de demora y otros gastos financieros;43,66;;43,66;
4;TRANSFERENCIAS CORRIENTES;21.099,29;;21.099,29;
48; A familias e instituciones sin fines de lucro;21.099,29;;21.099,29;
6;INVERSIONES REALES;17.401,09;;17.401,09;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;3.906,40;;3.906,40;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;13.209,12;;13.209,12;
64; Gastos de inversiones de carácter inmaterial;285,57;;285,57;
8;ACTIVOS FINANCIEROS;64,97;;64,97;
83; Concesión de préstamos fuera del Sector Público;19,97;;19,97;
84; Constitución de depósitos y fianzas;45,00;;45,00;
;TOTAL;114.507,06;4.395,68;118.902,74;
;;



