Económica;Explicación;Total (miles  euros);Total (euros)
1;Gastos de personal;23.736,20;23.736.200,00
10;Altos cargos;61,04;61.040,00
12;Funcionarios;15.063,86;15.063.860,00
13;Laborales;2.145,04;2.145.040,00
15;Incentivos al rendimiento;2.918,25;2.918.250,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;3.548,01;3.548.010,00
2;Gastos corrientes en bienes y servicios;24.163,52;24.163.520,00
20;Arrendamientos y cánones;2.305,72;2.305.720,00
21;Reparaciones, mantenimiento y conservación;2.768,26;2.768.260,00
22;Material, suministros y otros;18.727,18;18.727.180,00
23;Indemnizaciones por razón del servicio;361,97;361.970,00
24;Gastos de publicaciones;0,39;390,00
3;Gastos financieros;160,56;160.560,00
35;Intereses de demora y otros gastos financieros;160,56;160.560,00
4;Transferencias corrientes;4.069.193,94;4.069.193.940,00
44;A entidades del Sector Público Estatal;57,05;57.050,00
45;A Comunidades Autónomas;1.652.800,25;1.652.800.250,00
46;A Entidades Locales;293.784,76;293.784.760,00
47;A empresas privadas;2.249,45;2.249.450,00
48;A familias e instituciones sin fines de lucro;2.119.900,43;2.119.900.430,00
49;Al exterior;402;402.000,00
6;Inversiones reales;3.610,92;3.610.920,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;1.420,92;1.420.920,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;2.190,00;2.190.000,00
8;Activos financieros;79,4;79.400,00
83;Concesión de préstamos fuera del Sector Público;79,4;79.400,00
—;TOTAL PROGRAMA 241A – Fomento de la inserción y estabilidad laboral;4.120.944,54;4.120.944.540,00
