Económica;Explicación;Importe (mil €);Importe (€)
1;Gastos de personal;18.630,43;18.630.430,00 €
15;Incentivos al rendimiento;953,72;953.720,00 €
150;Productividad;849,06;849.060,00 €
151;Gratificaciones;104,66;104.660,00 €
16000;Seguridad Social;2.229,58;2.229.580,00 €
16200;Formación y perfeccionamiento del personal;35,79;35.790,00 €
16201;Economatos y comedores;132,49;132.490,00 €
16204;Acción social;87;87.000,00 €
2;Gastos corrientes en bienes y servicios;9.553,16;9.553.160,00 €
202;Arrendamientos de edificios y otras construcciones;619;618.960,00 €
22109;Labores Fábrica Nacional de Moneda y Timbre;4,00;4.000,00 €
22502;Locales;360,40;360.400,00 €
3;Gastos financieros;202,24;202.240,00 €
31 / 310;Intereses de préstamos en euros;1,24;1.240,00 €
35 / 352;Intereses de demora;200,00;200.000,00 €
359 / 35909;Otros gastos financieros;1,00;1.000,00 €
4;Transferencias corrientes;800.000,00;800.000.000,00 €
48 / 481;Prestaciones a trabajadores según legislación vigente;800.000,00;800.000.000,00 €
6;Inversiones reales;1.467,50;1.467.500,00 €
8;Activos financieros;147,12;147.120,00 €
830;Préstamos a corto plazo;30;30.000,00 €
831;Préstamos a largo plazo;117,12;117.120,00 €
—;TOTAL PROGRAMA 223A – Prestaciones de garantía salarial;830.000,45;830.000.450,00 €
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
