Económica;Explicación;Órgano Gestor (19.103);Importe (miles de €);Importe Total (€)
1;Gastos de personal;Inspección de Trabajo;169.053,15;169.053.150,00
10;Altos cargos;Inspección de Trabajo;61,04;61.040,00
12;Funcionarios;Inspección de Trabajo;142.003,86;142.003.860,00
13;Laborales;Inspección de Trabajo;1.688,19;1.688.190,00
15;Incentivos al rendimiento;Inspección de Trabajo;15.045,99;15.045.990,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;Inspección de Trabajo;10.254,07;10.254.070,00
2;Gastos corrientes en bienes y servicios;Inspección de Trabajo;29.710,60;29.710.600,00
20;Arrendamientos y cánones;Inspección de Trabajo;5.619,61;5.619.610,00
21;Reparaciones, mantenimiento y conservación;Inspección de Trabajo;3.237,88;3.237.880,00
22;Material, suministros y otros;Inspección de Trabajo;13.943,44;13.943.440,00
23;Indemnizaciones por razón del servicio;Inspección de Trabajo;6.899,67;6.899.670,00
24;Gastos de publicaciones;Inspección de Trabajo;10;10.000,00
6;Inversiones reales;Inspección de Trabajo;4.291,73;4.291.730,00
62;Inversión nueva asociada al funcionamiento operativo;Inspección de Trabajo;1.104,11;1.104.110,00
63;Inversión de reposición asociada al funcionamiento operativo;Inspección de Trabajo;3.187,62;3.187.620,00
8;Activos financieros;Inspección de Trabajo;75,36;75.360,00
83;Concesión de préstamos fuera del Sector Público;Inspección de Trabajo;75,36;75.360,00
—;TOTAL PROGRAMA 291A – Inspección y control de Seguridad y Protección Social;Inspección de Trabajo;203.130,84;203.130.840,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
