Orgánica;Económica;Explicación;19.103;Total (miles  euros);Total (euros)
1;Gastos de personal;Inspección de Trabajo;169.053,15;169.053,15;169.053.150,00
15;Incentivos al rendimiento;Inspección de Trabajo;15.045,99;15.045,99;15.045.990,00
150;Productividad;Inspección de Trabajo;15.045,99;15.045,99;15.045.990,00
16000;Seguridad Social;Inspección de Trabajo;9.102,36;9.102,36;9.102.360,00
16200;Formación y perfeccionamiento del personal;Inspección de Trabajo;290,22;290,22;290.220,00
16204;Acción social;Inspección de Trabajo;298,28;298,28;298.280,00
2;Gastos corrientes en bienes y servicios;Inspección de Trabajo;29.710,60;29.710,60;29.710.600,00
202;Arrendamientos de edificios y otras construcciones;Inspección de Trabajo;5.280,24;5.280,24;5.280.240,00
22502;Locales;Inspección de Trabajo;453,72;453,72;453.720,00
22.601;Atenciones protocolarias y representativas;Inspección de Trabajo;2,34;2,34;2.340,00
6;Inversiones reales;Inspección de Trabajo;4.291,73;4.291,73;4.291.730,00
8;Activos financieros;Inspección de Trabajo;75,36;75,36;75.360,00
83;Concesión de préstamos fuera del Sector Público;Inspección de Trabajo;75,36;75,36;75.360,00
831;Préstamos a largo plazo;Inspección de Trabajo;75,36;75,36;75.360,00
—;TOTAL PROGRAMA 291A – Inspección y control de Seguridad y Protección Social;Inspección de Trabajo;203.130,84;203.130,84;203.130.840,00
