Orgánica;Económica;Explicación;Órgano Gestor (19.101);Importe (miles de €);Importe Total (€)
19.101;15;Incentivos al rendimiento;SEPE;22.266,77;22.266.770,00
19.101;150;Productividad;SEPE;21.469,04;21.469.040,00
19.101;151;Gratificaciones;SEPE;797,73;797.730,00
19.101;16000;Seguridad Social;SEPE;48.930,25;48.930.250,00
19.101;16200;Formación y perfeccionamiento del personal;SEPE;180;180.000,00
19.101;16204;Acción social;SEPE;786,67;786.670,00
—;—;TOTAL GASTOS DE PERSONAL;—;330.739,95;330.739.950,00
19.101;202;Arrendamientos de edificios y otras construcciones;SEPE;1.440,00;1.440.000,00
19.101;22109;Labores Fábrica Nacional Moneda y Timbre;SEPE;10;10.000,00
19.101;22502;Locales;SEPE;979,96;979.960,00
19.101;22601;Atenciones protocolarias y representativas;SEPE;0,34;340
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;—;37.809,83;37.809.830,00
19.101;35;Intereses de demora y otros gastos financieros;SEPE;79,20;79.200,00
19.101;352;Intereses de demora;SEPE;79,2;79.200,00
—;—;TOTAL GASTOS FINANCIEROS;—;79,2;79.200,00
19.101;48;A familias e instituciones sin fines de lucro;SEPE;20.901.431,19;20.901.431.190,00
19.101;480;Prestaciones por desempleo;SEPE;14.838.188,71;14.838.188.710,00
19.101;48000;Contributivas;SEPE;9.424.322,32;9.424.322.320,00
19.101;48001;Subsidio por desempleo;SEPE;4.981.994,90;4.981.994.900,00
19.101;48002;Subsidio para eventuales del SEASS;SEPE;431.871,49;431.871.490,00
19.101;487;Cuotas, subvenciones y bonificaciones a la Seguridad Social;SEPE;5.363.242,48;5.363.242.480,00
19.101;48700;Cuotas de beneficiarios de prestaciones contributivas;SEPE;3.581.242,48;3.581.242.480,00
19.101;48701;Cuotas de beneficiarios del subsidio por desempleo;SEPE;1.650.000,00;1.650.000.000,00
19.101;48705;Cuotas de beneficiarios eventuales SEASS;SEPE;132.000,00;132.000.000,00
19.101;488;Otras prestaciones económicas específicas;SEPE;700.000,00;700.000.000,00
19.101;48801;Renta activa de inserción;SEPE;700.000,00;700.000.000,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES;—;20.901.431,19;20.901.431.190,00
19.101;6;Inversiones reales;SEPE;7.324,51;7.324.510,00
19.101;83;Concesión de préstamos fuera del Sector Público;SEPE;635,2;635.200,00
19.101;831;Préstamos a largo plazo;SEPE;635,2;635.200,00
—;—;TOTAL ACTIVOS FINANCIEROS;—;635,2;635.200,00
—;—;TOTAL PROGRAMA 251M – Prestaciones a los desempleados;—;21.278.019,88;21.278.019.880,00
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
