Económica;Explicación;Órgano gestor;Importe (mil €);Importe (€)
1;GASTOS DE PERSONAL;Ministerio y Subsecretaría;893,98;893.980,00 €
12;Funcionarios;Ministerio y Subsecretaría;776,92;776.920,00 €
16;Cuotas, prestaciones y gastos sociales;Ministerio y Subsecretaría;117,06;117.060,00 €
16000;Seguridad Social (desglosado dentro del 16);Ministerio y Subsecretaría;115,06;115.060,00 €
4;TRANSFERENCIAS CORRIENTES;Ministerio y Subsecretaría;300;300.000,00 €
49;Al exterior;Ministerio y Subsecretaría;300;300.000,00 €
491;Aportaciones para realización de programas y otros;Ministerio y Subsecretaría;300;300.000,00 €
—;TOTAL PROGRAMA 143A – Cooperación para el desarrollo;—;1.193,98;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
