Económica;Explicación;Órgano Gestor (19.101);Importe (miles de €);Importe Total (€)
1;Gastos de personal;SEPE;16.912,58;16.912.580,00
12;Funcionarios;SEPE;10.685,99;10.685.990,00
13;Laborales;SEPE;1.747,22;1.747.220,00
14;Otro personal;SEPE;49,88;49.880,00
15;Incentivos al rendimiento;SEPE;2.042,77;2.042.770,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;SEPE;2.386,72;2.386.720,00
2;Gastos corrientes en bienes y servicios;SEPE;14.958,12;14.958.120,00
20;Arrendamientos y cánones;SEPE;1.602,38;1.602.380,00
21;Reparaciones, mantenimiento y conservación;SEPE;1.142,45;1.142.450,00
22;Material, suministros y otros;SEPE;12.153,67;12.153.670,00
23;Indemnizaciones por razón del servicio;SEPE;56,41;56.410,00
24;Gastos de publicaciones;SEPE;3,21;3.210,00
4;Transferencias corrientes;SEPE;2.092.702,83;2.092.702.830,00
44;A entidades del Sector Público Estatal;SEPE;56.774,17;56.774.170,00
45;A Comunidades Autónomas;SEPE;1.078.722,20;1.078.722.200,00
48;A familias e instituciones sin fines de lucro;SEPE;957.206,46;957.206.460,00
6;Inversiones reales;SEPE;978,89;978.890,00
62;Inversión nueva asociada al funcionamiento operativo;SEPE;978,89;978.890,00
7;Transferencias de capital;SEPE;678,89;678.890,00
74;A entidades del Sector Público Estatal;SEPE;678,89;678.890,00
8;Activos financieros;SEPE;79,4;79.400,00
83;Concesión de préstamos fuera del Sector Público;SEPE;79,4;79.400,00
—;TOTAL PROGRAMA 241B – Formación Profesional para el Empleo;SEPE;2.126.310,71;2.126.310.710,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
