Orgánica;Económica;Explicación;Órgano Gestor;Importe (miles de €);Importe Total (€)
19.02;10;Altos cargos;Secretaría de Estado de Economía Social;61,04;61.040,00
19.02;12;Funcionarios;Secretaría de Estado de Economía Social;1.427,06;1.427.060,00
19.02;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;Secretaría de Estado de Economía Social;230;230.000,00
19.02;16000;Seguridad Social;Secretaría de Estado de Economía Social;230;230.000,00
—;—;TOTAL GASTOS DE PERSONAL;—;1.718,10;1.718.100,00
19.02;22;Material, suministros y otros;Secretaría de Estado de Economía Social;150;150.000,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;—;150;150.000,00
19.02;44;A entidades del Sector Público Estatal;Secretaría de Estado de Economía Social;50;50.000,00
19.02;441;Subvenciones a universidades públicas para formación y fomento de la economía social;Secretaría de Estado de Economía Social;50;50.000,00
19.02;47;A empresas privadas;Secretaría de Estado de Economía Social;9,6;9.600,00
19.02;470;Subvenciones a universidades privadas para formación y fomento de la economía social;Secretaría de Estado de Economía Social;9,6;9.600,00
19.02;48;A familias e instituciones sin fines de lucro;Secretaría de Estado de Economía Social;7.883,78;7.883.780,00
19.02;484;Subvenciones para acciones de formación y fomento del trabajo autónomo y economía social;Secretaría de Estado de Economía Social;3.070,77;3.070.770,00
19.02;485;Subvenciones para gastos de funcionamiento de asociaciones de economía social;Secretaría de Estado de Economía Social;1.813,01;1.813.010,00
19.02;489;Desarrollo de la Estrategia Española de Economía Social 2021–2027;Secretaría de Estado de Economía Social;3.000,00;3.000.000,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES;—;7.943,38;7.943.380,00
—;—;TOTAL SECRETARÍA DE ESTADO DE ECONOMÍA SOCIAL;—;9.811,48;9.811.480,00
—;—;TOTAL PROGRAMA 241N – Desarrollo de la economía social y de la responsabilidad social de las empresas;—;9.811,48;9.811.480,00
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
