Económica;Explicación;19.01;19.03;19.101;19.102;Total (miles €);Total (€)
4;Transferencias corrientes;7.383,13;314.258,25;237.203,98;53,23;558.898,59;558.898.590,00
40;A la Administración del Estado;—;—;144.717,24;53,23;144.770,47;144.770.470,00
41;A Organismos Autónomos;—;308.258,25;89.656,95;—;397.915,20;397.915.200,00
42;A la Seguridad Social;—;6.000,00;132,5;—;6.132,50;6.132.500,00
43;A otras entidades del Sector Público Administrativo Estatal;7.383,13;—;2.697,29;—;10.080,42;10.080.420,00
7;Transferencias de capital;41,94;5.292,09;—;—;5.334,03;5.334.030,00
71;A Organismos Autónomos;—;5.292,09;—;—;5.292,09;5.292.090,00
73;A otras entidades del Sector Público Administrativo Estatal;41,94;—;—;—;41,94;41.940,00
—;TOTAL PROGRAMA 000X – Transferencias y libramientos internos;7.425,07;319.550,34;237.203,98;53,23;564.232,62;564.232.620,00
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
