Económica;Explicación;19.03 ;19.104;Total (miles  euros);Total (euros)
1;Gastos de personal;3.250,75;19.291,57;22.542,32;22.542.320,00
10;Altos cargos;61,02;—;61,02;61.020,00
12;Funcionarios;2.909,73;—;2.909,73;2.909.730,00
15;Incentivos al rendimiento;—;1.555,94;1.555,94;1.555.940,00
150;Productividad;—;1.512,04;1.512,04;1.512.040,00
151;Gratificaciones;—;43,9;43,9;43.900,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;280;—;280;280.000,00
16000;Seguridad Social;280;2.891,99;3.171,99;3.171.990,00
16200;Formación y perfeccionamiento del personal;—;207,83;207,83;207.830,00
16204;Acción social;—;200;200;200.000,00
2;Gastos corrientes en bienes y servicios;—;20.140,91;20.140,91;20.140.910,00
202;Arrendamientos de edificios y otras construcciones;—;30;30;30.000,00
22502;Locales;—;355,08;355,08;355.080,00
22601;Atenciones protocolarias y representativas;—;2,34;2,34;2.340,00
3;Gastos financieros;—;0,46;0,46;460
35;Intereses de demora y otros gastos financieros;—;0,46;0,46;460
4;Transferencias corrientes;9.725,10;26.628,01;36.353,11;36.353.110,00
44;A entidades del Sector Público Estatal;1.186,50;26.000,00;27.186,50;27.186.500,00
48;A familias e instituciones sin fines de lucro;8.388,60;532,91;8.921,51;8.921.510,00
49;Al exterior;150;95,1;245,1;245.100,00
7;Transferencias de capital;90;—;90;90.000,00
74;A entidades del Sector Público Estatal;90;—;90;90.000,00
6;Inversiones reales;—;1.355,00;1.355,00;1.355.000,00
8;Activos financieros;—;86,71;86,71;86.710,00
830;Préstamos a corto plazo;—;34,69;34,69;34.690,00
831;Préstamos a largo plazo;—;52,02;52,02;52.020,00
—;TOTAL PROGRAMA 494M – Administración de las relaciones laborales;13.065,85;67.502,66;80.568,51;80.568.510,00
