;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;Organismo: 106 CONSEJO SUPERIOR DE DEPORTES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
v;;;CONSEJO SUPERIOR DE DEPORTES;;;
v;33ZA;;C26.I01 Plan de Digitalización del Sector Deporte;;;
;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;29;Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;;41.363,09;
;;290;Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;;41.363,09;
;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;41.363,09;
 ; ;;;;;
;;4;TRANSFERENCIAS CORRIENTES;;;
;;45;A Comunidades Autónomas;;1.000,00;
;;459;Ayudas a comunidades autónomas. Mecanismo de Recuperación y Resiliencia;;1.000,00;
;;46;A Entidades Locales;;1.000,00;
;;469;Ayudas a corporaciones locales. Mecanismo de Recuperación y Resiliencia;;1.000,00;
;;48;A familias e instituciones sin fines de lucro;;450,00;
;;484;Ayudas a familias e instituciones sin fines de lucro. Mecanismo de Recuperación y Resiliencia;;450,00;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;2.450,00;
 ; ;;;;;
;;6;INVERSIONES REALES;;;
;;69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;;1.000,00;
;;694;Gastos de inversiones de carácter inmaterial. Mecanismo de Recuperación y Resiliencia.;;1.000,00;
;;;TOTAL INVERSIONES REALES;;1.000,00;
 ; ;;;;;
;;7;TRANSFERENCIAS DE CAPITAL;;;
;;75;A Comunidades Autónomas;;1.000,00;
;;759;Ayudas a comunidades autónomas. Mecanismo de Recuperación y Resiliencia;;1.000,00;
;;76;A Entidades Locales;;1.000,00;
;;769;Ayudas a corporaciones locales. Mecanismo de Recuperación y Resiliencia;;1.000,00;
;;78;A familias e instituciones sin fines de lucro;;8.450,00;
;;789;Ayudas a familias e instituciones sin fines de lucro. Mecanismo de Recuperación y Resiliencia;;8.450,00;
;;;TOTAL TRANSFERENCIAS DE CAPITAL;;10.450,00;
 ; ;;;;;
;;;TOTAL C26.I01 Plan de Digitalización del Sector Deporte;;55.263,09;
 ; ;;;;;
 ; ;;;;;
v;33ZB;;C26.I02 Plan de Transición Ecológica de Instalaciones Deportivas;;;
;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;29;Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;;2.271,54;
;;290;Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;;2.271,54;
