Económica;Explicación;14.113;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;21.927,37;21.927,37;21.927.370,00
12;Funcionarios;15.404,38;15.404,38;15.404.380,00
13;Laborales;3.590,50;3.590,50;3.590.500,00
15;Incentivos al rendimiento;1.195,27;1.195,27;1.195.270,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.737,22;1.737,22;1.737.220,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;9.357,75;9.357,75;9.357.750,00
20;Arrendamientos y cánones;307,67;307,67;307.670,00
21;Reparaciones, mantenimiento y conservación;906,79;906,79;906.790,00
22;Material, suministros y otros;8.074,03;8.074,03;8.074.030,00
23;Indemnizaciones por razón del servicio;62,41;62,41;62.410,00
24;Gastos de publicaciones;6,85;6,85;6.850,00
3;GASTOS FINANCIEROS;3,01;3,01;3.010,00
31;De préstamos en euros;3,01;3,01;3.010,00
4;TRANSFERENCIAS CORRIENTES;46.055,55;46.055,55;46.055.550,00
48;A familias e instituciones sin fines de lucro;46.055,55;46.055,55;46.055.550,00
6;INVERSIONES REALES;1.000,33;1.000,33;1.000.330,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;275,28;275,28;275.280,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;725,05;725,05;725.050,00
8;ACTIVOS FINANCIEROS;198,2;198,2;198.200,00
83;Concesión de préstamos fuera del Sector Público;182,18;182,18;182.180,00
84;Constitución de depósitos y fianzas;16,02;16,02;16.020,00
9;PASIVOS FINANCIEROS;2;2;2.000,00
94;Devolución de depósitos y fianzas;2;2;2.000,00
—;TOTAL GENERAL;78.544,21;78.544,21;78.544.210,00
