Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
14.113;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;—;—
14.113;22109;Labores Fábrica Nacional Moneda y Timbre;200;200.000,00
14.113;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;548.249,87;548.249.870,00
14.113;4;TRANSFERENCIAS CORRIENTES;—;—
14.113;48;A familias e instituciones sin fines de lucro;210.707,00;210.707.000,00
14.113;484;Farmacia;179.694,00;179.694.000,00
14.113;485;Prótesis y otras prestaciones;31.013,00;31.013.000,00
14.113;—;TOTAL TRANSFERENCIAS CORRIENTES;210.707,00;210.707.000,00
14.113;—;TOTAL INSTITUTO SOCIAL DE LAS FUERZAS ARMADAS;758.956,87;758.956.870,00
14.113;—;TOTAL Asistencia sanitaria del Mutualismo Administrativo;758.956,87;758.956.870,00
