;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;Programa: 222M Prestaciones económicas del Mutualismo Administrativo;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;14.113;;Total;
1;GASTOS DE PERSONAL;21.927,37;;21.927,37;
12; Funcionarios;15.404,38;;15.404,38;
13; Laborales;3.590,50;;3.590,50;
15; Incentivos al rendimiento;1.195,27;;1.195,27;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.737,22;;1.737,22;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;9.357,75;;9.357,75;
20; Arrendamientos y cánones;307,67;;307,67;
21; Reparaciones, mantenimiento y conservación;906,79;;906,79;
22; Material, suministros y otros;8.074,03;;8.074,03;
23; Indemnizaciones por razón del servicio;62,41;;62,41;
24; Gastos de publicaciones;6,85;;6,85;
3;GASTOS FINANCIEROS;3,01;;3,01;
31; De préstamos en euros;3,01;;3,01;
4;TRANSFERENCIAS CORRIENTES;46.055,55;;46.055,55;
48; A familias e instituciones sin fines de lucro;46.055,55;;46.055,55;
6;INVERSIONES REALES;1.000,33;;1.000,33;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;275,28;;275,28;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;725,05;;725,05;
8;ACTIVOS FINANCIEROS;198,20;;198,20;
83; Concesión de préstamos fuera del Sector Público;182,18;;182,18;
84; Constitución de depósitos y fianzas;16,02;;16,02;
9;PASIVOS FINANCIEROS;2,00;;2,00;
94; Devolución de depósitos y fianzas;2,00;;2,00;
;TOTAL;78.544,21;;78.544,21;
;;



