;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Organismo: 101 CENTRO DE ESTUDIOS Y EXPERIMENTACIÓN DE OBRAS PÚBLICAS;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
v;;;CENTRO DE ESTUDIOS Y EXPERIMENTACIÓN DE OBRAS PÚBLICAS;;;
v;451M;;Estudios y servicios de asistencia técnica en Obras Públicas y Urbanismo;;;
v;;1;GASTOS DE PERSONAL;;;
;;12;Funcionarios;;10.930,61;
;;120;Retribuciones básicas;;5.386,53;
;;12000;  Sueldos del grupo A1 y grupo A;2.185,01;;
;;12001;  Sueldos del grupo A2 y grupo B;719,77;;
;;12002;  Sueldos del grupo C1 y grupo C;443,90;;
;;12003;  Sueldos del grupo C2 y grupo D;248,99;;
;;12005;  Trienios;901,73;;
;;12006;  Pagas extraordinarias;887,13;;
;;121;Retribuciones complementarias;;5.544,08;
;;12100;  Complemento de destino;2.423,97;;
;;12101;  Complemento específico;3.120,11;;
;;13;Laborales;;3.311,71;
;;130;Laboral fijo;;3.115,53;
;;13000;  Retribuciones básicas;2.904,88;;
;;13001;  Otras remuneraciones;210,65;;
;;131;Laboral eventual;;196,18;
;;14;Otro personal;;1.688,95;
;;143;Otro personal;;1.688,95;
v;;15;Incentivos al rendimiento;;1.320,55;
v;;150;Productividad;;1.167,95;
v;;151;Gratificaciones;;152,60;
;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;3.866,61;
;;160;Cuotas sociales;;3.592,54;
v;;16000;  Seguridad Social;3.592,54;;
;;162;Gastos sociales del personal;;274,07;
v;;16200;  Formación y perfeccionamiento del personal;50,00;;
;;16202;  Transporte de personal;40,65;;
v;;16204;  Acción social;63,65;;
;;16205;  Seguros;46,66;;
;;16209;  Otros;73,11;;
;;;TOTAL GASTOS DE PERSONAL;;21.118,43;
 ; ;;;;;
v;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;20;Arrendamientos y cánones;;19,17;
v;;202;Arrendamientos de edificios y otras construcciones;;2,22;
;;203;Arrendamientos de maquinaria, instalaciones y utillaje;;10,00;
;;204;Arrendamientos de medios de transporte;;2,51;
;;205;Arrendamientos de mobiliario y enseres;;1,06;
;;206;Arrendamientos de equipos para procesos de información;;3,38;
;;21;Reparaciones, mantenimiento y conservación;;911,24;
;;210;Infraestructura y bienes naturales;;1,00;
;;212;Edificios y otras construcciones;;400,00;
;;213;Maquinaria, instalaciones y utillaje;;310,00;
;;214;Elementos de transporte;;31,00;
;;215;Mobiliario y enseres;;76,55;
;;216;Equipos para procesos de la información;;67,69;
;;217;Instalaciones técnicas especializadas;;25,00;
;;22;Material, suministros y otros;;4.881,67;
;;220;Material de oficina;;334,00;
;;22000;  Ordinario no inventariable;29,00;;
;;22001;  Prensa, revistas, libros y otras publicaciones;55,00;;
;;22002;  Material informático no inventariable;250,00;;
;;221;Suministros;;1.346,29;
;;22100;  Energía eléctrica;603,25;;
;;22101;  Agua;41,00;;
;;22102;  Gas;16,11;;
;;22103;  Combustible;115,16;;
;;22104;  Vestuario;10,00;;
;;22199;  Otros suministros;560,77;;
;;222;Comunicaciones;;29,77;
;;22200;  Servicios de telecomunicaciones;4,77;;
;;22201;  Postales y mensajería;25,00;;
;;223;Transportes;;20,00;
;;224;Primas de seguros;;17,80;
;;225;Tributos;;826,00;
;;226;Gastos diversos;;210,83;
v;;22601;  Atenciones protocolarias y representativas;1,64;;
;;22602;  Publicidad y propaganda;18,74;;
;;22603;  Jurídicos, contenciosos;20,00;;
;;22606;  Reuniones, conferencias y cursos;145,00;;
;;22609;  Actividades culturales y deportivas;3,00;;
;;22699;  Otros;22,45;;
;;227;Trabajos realizados por otras empresas y profesionales;;2.096,98;
;;22700;  Limpieza y aseo;56,53;;
;;22701;  Seguridad;319,99;;
;;22706;  Estudios y trabajos técnicos;1.715,46;;
;;22799;  Otros;5,00;;
;;23;Indemnizaciones por razón del servicio;;318,38;
;;230;Dietas;;165,00;
;;231;Locomoción;;69,85;
;;232;Traslado;;5,53;
;;233;Otras indemnizaciones;;78,00;
;;24;Gastos de publicaciones;;48,62;
;;240;Gastos de edición y distribución;;48,62;
;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;6.179,08;
 ; ;;;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;48;A familias e instituciones sin fines de lucro;;244,10;
v;;481;Becas del CEDEX;;180,00;
v;;482;Cuotas a asociaciones técnicas nacionales;;14,10;
v;;486;Ayudas por jubilación al personal del CEDEX;;50,00;
v;;49;Al exterior;;75,62;
v;;492;Cuotas a Organismos Internacionales;;75,62;
;;49200;  Reunion Internationale des Laboratoires et experts des materiaux, systemes de construction et ouvrages (RILEM);4,30;;
;;49201;  The International Society for the Environmental and Technical implications of construction with alternative materials (ISCOWA);0,20;;
;;49202;  IABSE Subscription Service;0,30;;
;;49203;  American Concrete Institute (ACI);1,50;;
;;49204;  Fédération Internationale du Béton (CEB-FIP);1,10;;
;;49205;  Forum of European National Highway Research Laboratories (FEHRL);26,52;;
;;49206;  Foundation Stichting Deltares;6,00;;
;;49207;  Institut Méditerranéen de l'eau;1,10;;
;;49209;  The International Association for Hydro-Environment Engineering and Research (IAHR);30,00;;
;;49210;  Connected, Cooperative and Automated Mobility (CCAM);3,50;;
;;49211;  Office International de l'Eau (OIEau);1,10;;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;319,72;
 ; ;;;;;
v;;6;INVERSIONES REALES;;;
;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;800,00;
;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;800,00;
;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;4.415,00;
;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;4.415,00;
;;64;Gastos de inversiones de carácter inmaterial;;525,00;
;;640;Gastos en inversiones de carácter inmaterial;;525,00;
;;;TOTAL INVERSIONES REALES;;5.740,00;
 ; ;;;;;
v;;8;ACTIVOS FINANCIEROS;;;
v;;83;Concesión de préstamos fuera del Sector Público;;38,32;
v;;830;Préstamos a corto plazo;;19,00;
;;83008;  Familias e instituciones sin fines de lucro;19,00;;
v;;831;Préstamos a largo plazo;;19,32;
;;83108;  Familias e instituciones sin fines de lucro;19,32;;
;;;TOTAL ACTIVOS FINANCIEROS;;38,32;
 ; ;;;;;
;;;TOTAL Estudios y servicios de asistencia técnica en Obras Públicas y Urbanismo;;33.395,55;
 ; ;;;;;
 ; ;;;;;
v;46QC;;C17.I03 Nuevos proyectos I+D+I Publico Privados, Interdisciplinares, Pruebas de concepto y concesión de ayudas consecuencia de convocatorias competitivas internacionales. I+D de vanguardia orientada a retos de la sociedad. Compra pública pre-comercial.;;;
;;6;INVERSIONES REALES;;;
;;69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;;4,47;
;;692;Inversión nueva asociada al funcionamiento operativo de los servicios. Mecanismo de Recuperación y Resiliencia;;4,47;
;;;TOTAL INVERSIONES REALES;;4,47;
 ; ;;;;;
;;;TOTAL C17.I03 Nuevos proyectos I+D+I Publico Privados, Interdisciplinares, Pruebas de concepto y concesión de ayudas consecuencia de convocatorias competitivas internacionales. I+D de vanguardia orientada a retos de la sociedad. Compra pública pre-comercial.;;4,47;
 ; ;;;;;
 ; ;;;;;
v;467B;;Investigación, desarrollo y experimentación en transporte e infraestructuras;;;
v;;6;INVERSIONES REALES;;;
;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;560,00;
;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;560,00;
;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;340,00;
;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;340,00;
;;64;Gastos de inversiones de carácter inmaterial;;100,00;
;;640;Gastos en inversiones de carácter inmaterial;;100,00;
;;;TOTAL INVERSIONES REALES;;1.000,00;
 ; ;;;;;
;;;TOTAL Investigación, desarrollo y experimentación en transporte e infraestructuras;;1.000,00;
 ; ;;;;;
 ; ;;;;;
;;;TOTAL CENTRO DE ESTUDIOS Y EXPERIMENTACIÓN DE OBRAS PÚBLICAS;;34.400,02;
;;



