;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulo 9;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;Capítulo: 9 PASIVOS FINANCIEROS;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;OO.AA.;R.ENTIDADES;Total;
000X; Transferencias y libramientos internos;450,00;1.177,64;1.627,64;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;450,00;1.177,64;1.627,64;
;TOTAL;450,00;1.177,64;1.627,64;
;;



