Servicio;Programa;Económica;Explicación;Total (miles euros);Total (euros)
1;111M;1;GASTOS DE PERSONAL;31.079,62;31.079.620,00
1;111M;10;Altos cargos;3.027,17;3.027.170,00
1;111M;11;Personal eventual;3.568,76;3.568.760,00
1;111M;12;Funcionarios;19.660,93;19.660.930,00
1;111M;13;Laborales;992,59;992.590,00
1;111M;15;Incentivos al rendimiento;1.063,00;1.063.000,00
1;111M;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;2.767,17;2.767.170,00
1;111M;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;9.419,26;9.419.260,00
1;111M;20–27;Material, suministros, reparaciones, arrendamientos, servicios;9.419,26;9.419.260,00
1;111M;4;TRANSFERENCIAS CORRIENTES;438,65;438.650,00
1;111M;48;A familias e instituciones sin fines de lucro;426,1;426.100,00
1;111M;49;Al exterior;12,55;12.550,00
1;111M;6;INVERSIONES REALES;2.270,72;2.270.720,00
1;111M;62–63;Inversión nueva y reposición asociada al funcionamiento operativo;2.270,72;2.270.720,00
1;111M;8;ACTIVOS FINANCIEROS;50;50.000,00
1;111M;83;Concesión de préstamos fuera del Sector Público;50;50.000,00
—;—;—;TOTAL Gobierno del Poder Judicial;43.258,25;43.258.250,00
1;111O;12;Funcionarios;10.847,17;10.847.170,00
1;111O;120;Retribuciones básicas;1.851,60;1.851.600,00
1;111O;121;Retribuciones complementarias;2.620,66;2.620.660,00
1;111O;124;Retribuciones de funcionarios en prácticas;6.374,91;6.374.910,00
1;111O;13;Laborales;121,44;121.440,00
1;111O;15;Incentivos al rendimiento;5,15;5.150,00
1;111O;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;3.017,51;3.017.510,00
—;—;—;TOTAL GASTOS DE PERSONAL;13.991,27;13.991.270,00
1;111O;20;Arrendamientos y cánones;24,2;24.200,00
1;111O;21;Reparaciones, mantenimiento y conservación;318,8;318.800,00
1;111O;22;Material, suministros y otros;2.414,32;2.414.320,00
1;111O;23;Indemnizaciones por razón del servicio;6.977,65;6.977.650,00
1;111O;22502;Tributos – Locales;20;20.000,00
1;111O;226;Gastos diversos;1.071,92;1.071.920,00
1;111O;227;Trabajos realizados por otras empresas y profesionales;1.019,60;1.019.600,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;9.734,97;9.734.970,00
1;111O;48;A familias e instituciones sin fines de lucro;122,5;122.500,00
1;111O;483;A Asociaciones Judiciales;32,5;32.500,00
1;111O;484;Ayudas a la formación;90;90.000,00
1;111O;49;Al exterior;18;18.000,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;140,5;140.500,00
1;111O;62;Inversión nueva funcionamiento operativo;151;151.000,00
1;111O;63;Inversión de reposición funcionamiento operativo;118;118.000,00
—;—;—;TOTAL INVERSIONES REALES;269;269.000,00
—;—;—;TOTAL Selección y formación de jueces;24.135,74;24.135.740,00
1;111P;12;Funcionarios;2.187,52;2.187.520,00
1;111P;120;Retribuciones básicas;858,34;858.340,00
1;111P;121;Retribuciones complementarias;1.329,18;1.329.180,00
1;111P;13;Laborales;343,99;343.990,00
1;111P;15;Incentivos al rendimiento;3,15;3.150,00
1;111P;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;273,2;273.200,00
—;—;—;TOTAL GASTOS DE PERSONAL;2.807,86;2.807.860,00
1;111P;20;Arrendamientos y cánones;32;32.000,00
1;111P;21;Reparaciones, mantenimiento y conservación;503,6;503.600,00
1;111P;22;Material, suministros y otros;7.122,25;7.122.250,00
1;111P;23;Indemnizaciones por razón del servicio;67;67.000,00
1;111P;24;Gastos de publicaciones;147;147.000,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;7.871,85;7.871.850,00
1;111P;62;Inversión nueva funcionamiento operativo;256,9;256.900,00
1;111P;63;Inversión de reposición funcionamiento operativo;3,2;3.200,00
—;—;—;TOTAL INVERSIONES REALES;260,1;260.100,00
—;—;—;TOTAL Documentación y publicaciones judiciales;10.939,81;10.939.810,00
1;111P;—;TOTAL CONSEJO GENERAL DEL PODER JUDICIAL;78.333,80;78.333.800,00
—;—;—;TOTAL CONSEJO GENERAL DEL PODER JUDICIAL;78.333,80;78.333.800,00
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
