;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;Programa: 924M Elecciones y Partidos Políticos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
16.01;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
;1;GASTOS DE PERSONAL;;;
;12;Funcionarios;;1.121,07;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;108,18;
;16000; Seguridad Social;108,18;;
;;TOTAL GASTOS DE PERSONAL;;1.229,25;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;21;Reparaciones, mantenimiento y conservación;;15,00;
;22;Material, suministros y otros;;347.100,00;
;22705; Procesos electorales y consultas populares;347.040,00;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;347.115,00;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;111.473,73;
;484;Asignación anual a partidos políticos para sufragar gastos de seguridad;;2.706,20;
;485;Financiación a partidos políticos;;108.767,53;
;48502; Subvención gastos electorales de partidos políticos (Ley Orgánica 5/1985);56.063,39;;
;;TOTAL TRANSFERENCIAS CORRIENTES;;111.473,73;
 ; ;;;;
;6;INVERSIONES REALES;;1.750,00;
 ; ;;;;
;;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;461.567,98;
 ; ;;;;
 ; ;;;;
;;TOTAL Elecciones y Partidos Políticos;;461.567,98;
;;



