 Económico;Explicación;16.02;16.03;16.04;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;3.866,07;71.183,01;29.705,47;104.754,55;104.754.550,00
12;Funcionarios;3.633,74;66.919,77;29.705,47;100.258,98;100.258.980,00
13;Laborales;128,55;—;—;128,55;128.550,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;103,78;4.263,24;—;4.367,02;4.367.020,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.206,18;368,89;509;2.084,07;2.084.070,00
21;Reparaciones, mantenimiento y conservación;182,13;—;15;197,13;197.130,00
22;Material, suministros y otros;932,1;1,16;292;1.225,26;1.225.260,00
23;Indemnizaciones por razón del servicio;91,95;367,73;202;661,68;661.680,00
6;INVERSIONES REALES;780,27;750;100;1.630,27;1.630.270,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;689,27;750;100;1.539,27;1.539.270,00
63;Inversión de reposición asociada al funcionamiento operativo;91;—;—;91;91.000,00
—;TOTAL PROGRAMA 132C – ACTUACIONES POLICIALES EN MATERIA DE DROGA;5.852,52;72.301,90;30.314,47;108.468,89;108.468.890,00
