Económica;Explicación;16.01;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;400.993,39;400.993,39;400.993.390,00
10;Altos cargos;407,2;407,2;407.200,00
11;Personal eventual;577,33;577,33;577.330,00
12;Funcionarios;384.809,00;384.809,00;384.809.000,00
13;Laborales;3.333,56;3.333,56;3.333.560,00
15;Incentivos al rendimiento;8.442,94;8.442,94;8.442.940,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;3.423,36;3.423,36;3.423.360,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;18.880,76;18.880,76;18.880.760,00
20;Arrendamientos y cánones;1.163,39;1.163,39;1.163.390,00
21;Reparaciones, mantenimiento y conservación;2.047,03;2.047,03;2.047.030,00
22;Material, suministros y otros;14.851,52;14.851,52;14.851.520,00
23;Indemnizaciones por razón del servicio;590,14;590,14;590.140,00
24;Gastos de publicaciones;228,68;228,68;228.680,00
3;GASTOS FINANCIEROS;2,37;2,37;2.370,00
35;Intereses de demora y otros gastos financieros;2,37;2,37;2.370,00
4;TRANSFERENCIAS CORRIENTES;18.102,70;18.102,70;18.102.700,00
44;A entidades del Sector Público Estatal;2.035,00;2.035,00;2.035.000,00
48;A familias e instituciones sin fines de lucro;16.067,70;16.067,70;16.067.700,00
6;INVERSIONES REALES;4.482,38;4.482,38;4.482.380,00
62;Inversión nueva operativa;13,35;13,35;13.350,00
63;Reposición operativa;4.469,03;4.469,03;4.469.030,00
8;ACTIVOS FINANCIEROS;121,95;121,95;121.950,00
83;Préstamos fuera del Sector Público;121,95;121,95;121.950,00
—;TOTAL GENERAL;—;442.583,55;442.583.550,00
