;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;Programa: 133A Centros e Instituciones Penitenciarias;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;16.05;;Total;
1;GASTOS DE PERSONAL;981.670,66;;981.670,66;
10; Altos cargos;138,82;;138,82;
12; Funcionarios;787.727,86;;787.727,86;
13; Laborales;68.183,10;;68.183,10;
15; Incentivos al rendimiento;48.549,01;;48.549,01;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;77.071,87;;77.071,87;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;314.858,49;;314.858,49;
20; Arrendamientos y cánones;3.405,00;;3.405,00;
21; Reparaciones, mantenimiento y conservación;33.641,94;;33.641,94;
22; Material, suministros y otros;261.335,95;;261.335,95;
23; Indemnizaciones por razón del servicio;1.548,45;;1.548,45;
25; Conciertos de asistencia sanitaria;14.927,15;;14.927,15;
3;GASTOS FINANCIEROS;15,62;;15,62;
35; Intereses de demora y otros gastos financieros;15,62;;15,62;
4;TRANSFERENCIAS CORRIENTES;17.303,96;;17.303,96;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;12.862,34;;12.862,34;
46; A Entidades Locales;511,00;;511,00;
48; A familias e instituciones sin fines de lucro;3.922,62;;3.922,62;
49; Al exterior;8,00;;8,00;
6;INVERSIONES REALES;12.213,67;;12.213,67;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;12.213,67;;12.213,67;
7;TRANSFERENCIAS DE CAPITAL;100,20;;100,20;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;100,20;;100,20;
8;ACTIVOS FINANCIEROS;95,19;;95,19;
83; Concesión de préstamos fuera del Sector Público;95,19;;95,19;
;TOTAL;1.326.257,79;;1.326.257,79;
;;



