;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;Programa: 131N Formación de Fuerzas y Cuerpos de Seguridad del Estado;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
16.03;;DIRECCIÓN GENERAL DE LA POLICÍA;;;
;1;GASTOS DE PERSONAL;;;
;12;Funcionarios;;53.349,20;
;13;Laborales;;1.281,92;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;13.883,23;
;16000; Seguridad Social;11.283,23;;
;16200; Formación y perfeccionamiento del personal;2.600,00;;
;;TOTAL GASTOS DE PERSONAL;;68.514,35;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;21;Reparaciones, mantenimiento y conservación;;355,01;
;22;Material, suministros y otros;;2.097,39;
;22502; Locales;2,50;;
;23;Indemnizaciones por razón del servicio;;10.370,00;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;12.822,40;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE LA POLICÍA;;81.336,75;
 ; ;;;;
 ; ;;;;
16.04;;DIRECCIÓN GENERAL DE LA GUARDIA CIVIL;;;
;1;GASTOS DE PERSONAL;;;
;12;Funcionarios;;59.266,35;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;10.467,45;
;16000; Seguridad Social;5.213,48;;
;16200; Formación y perfeccionamiento del personal;5.253,97;;
;;TOTAL GASTOS DE PERSONAL;;69.733,80;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;21;Reparaciones, mantenimiento y conservación;;1.029,00;
;22;Material, suministros y otros;;8.256,84;
;22502; Locales;45,00;;
;22611; Gastos protocolarios y representativos derivados de actos institucionales;42,84;;
;23;Indemnizaciones por razón del servicio;;11.100,00;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;20.385,84;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;3.420,75;
;442;Al Centro Universitario de la Guardia Civil;;2.539,98;
;443;Al Centro Universitario de la Defensa en la Academia General Militar de Zaragoza;;880,77;
;;TOTAL TRANSFERENCIAS CORRIENTES;;3.420,75;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;31,53;
;742;Al Centro Universitario de la Guardia Civil;;25,00;
;743;Al Centro Universitario de la Defensa en la Academia General Militar de Zaragoza;;6,53;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;31,53;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE LA GUARDIA CIVIL;;93.571,92;
 ; ;;;;
 ; ;;;;
16.103;;CENTRO UNIVERSITARIO DE FORMACIÓN DE LA POLICÍA NACIONAL;;;
;1;GASTOS DE PERSONAL;;;
;16000; Seguridad Social;146,46;;
;;TOTAL GASTOS DE PERSONAL;;922,10;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;2.827,90;
 ; ;;;;
;6;INVERSIONES REALES;;250,00;
 ; ;;;;
;;TOTAL CENTRO UNIVERSITARIO DE FORMACIÓN DE LA POLICÍA NACIONAL;;4.000,00;
 ; ;;;;
 ; ;;;;
;;TOTAL Formación de Fuerzas y Cuerpos de Seguridad del Estado;;178.908,67;
;;



