;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;Programa: 134M Protección Civil;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;16.01;;Total;
1;GASTOS DE PERSONAL;6.854,35;;6.854,35;
10; Altos cargos;64,01;;64,01;
12; Funcionarios;3.229,00;;3.229,00;
13; Laborales;2.377,39;;2.377,39;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.183,95;;1.183,95;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.628,02;;4.628,02;
20; Arrendamientos y cánones;13,60;;13,60;
21; Reparaciones, mantenimiento y conservación;2.594,38;;2.594,38;
22; Material, suministros y otros;1.675,04;;1.675,04;
23; Indemnizaciones por razón del servicio;345,00;;345,00;
4;TRANSFERENCIAS CORRIENTES;775,90;;775,90;
46; A Entidades Locales;240,40;;240,40;
47; A empresas privadas;40,10;;40,10;
48; A familias e instituciones sin fines de lucro;495,40;;495,40;
6;INVERSIONES REALES;1.294,36;;1.294,36;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;71,02;;71,02;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;861,23;;861,23;
64; Gastos de inversiones de carácter inmaterial;362,11;;362,11;
7;TRANSFERENCIAS DE CAPITAL;3.197,08;;3.197,08;
76; A Entidades Locales;3.066,93;;3.066,93;
77; A empresas privadas;40,00;;40,00;
78; A familias e instituciones sin fines de lucro;90,15;;90,15;
;TOTAL;16.749,71;;16.749,71;
;;



