;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Organismo: 101 CENTRO DE ESTUDIOS JURÍDICOS;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
v;;;CENTRO DE ESTUDIOS JURÍDICOS;;;
v;111Q;;Formación del Personal de la Administración de Justicia;;;
v;;1;GASTOS DE PERSONAL;;;
;;12;Funcionarios;;4.334,21;
;;120;Retribuciones básicas;;746,38;
;;12000;  Sueldos del grupo A1 y grupo A;136,47;;
;;12001;  Sueldos del grupo A2 y grupo B;126,00;;
;;12002;  Sueldos del grupo C1 y grupo C;141,92;;
;;12003;  Sueldos del grupo C2 y grupo D;118,10;;
;;12005;  Trienios;97,41;;
;;12006;  Pagas extraordinarias;126,48;;
;;121;Retribuciones complementarias;;837,43;
;;12100;  Complemento de destino;376,23;;
;;12101;  Complemento específico;461,20;;
;;124;Retribuciones de funcionarios en prácticas;;2.750,40;
;;12400;  Sueldos del grupo A1 y grupo A;1.734,10;;
;;12401;  Sueldos del grupo A2 y grupo B;276,77;;
;;12405;  Trienios;69,35;;
;;12406;  Pagas extraordinarias;337,14;;
;;12407;  Retribuciones complementarias;333,04;;
;;13;Laborales;;125,55;
;;130;Laboral fijo;;125,55;
;;13000;  Retribuciones básicas;125,03;;
;;13001;  Otras remuneraciones;0,52;;
;;14;Otro personal;;8,14;
;;143;Otro personal;;8,14;
v;;15;Incentivos al rendimiento;;179,76;
v;;150;Productividad;;178,11;
v;;151;Gratificaciones;;1,65;
;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;736,44;
;;160;Cuotas sociales;;650,26;
v;;16000;  Seguridad Social;650,26;;
;;162;Gastos sociales del personal;;86,18;
v;;16200;  Formación y perfeccionamiento del personal;25,41;;
v;;16201;  Economatos y comedores;16,38;;
;;16202;  Transporte de personal;33,41;;
v;;16204;  Acción social;10,98;;
;;;TOTAL GASTOS DE PERSONAL;;5.384,10;
 ; ;;;;;
v;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;20;Arrendamientos y cánones;;7,13;
;;206;Arrendamientos de equipos para procesos de información;;7,13;
;;21;Reparaciones, mantenimiento y conservación;;405,30;
;;212;Edificios y otras construcciones;;37,50;
;;213;Maquinaria, instalaciones y utillaje;;16,80;
;;215;Mobiliario y enseres;;1,00;
;;216;Equipos para procesos de la información;;350,00;
;;22;Material, suministros y otros;;1.240,49;
;;220;Material de oficina;;60,50;
;;22000;  Ordinario no inventariable;31,00;;
;;22001;  Prensa, revistas, libros y otras publicaciones;5,50;;
;;22002;  Material informático no inventariable;24,00;;
;;221;Suministros;;90,40;
;;22100;  Energía eléctrica;42,00;;
;;22101;  Agua;22,50;;
;;22103;  Combustible;22,00;;
;;22104;  Vestuario;3,20;;
;;22199;  Otros suministros;0,70;;
;;222;Comunicaciones;;14,47;
;;22200;  Servicios de telecomunicaciones;8,47;;
;;22201;  Postales y mensajería;6,00;;
;;223;Transportes;;104,00;
;;225;Tributos;;12,00;
v;;22502;  Locales;12,00;;
;;226;Gastos diversos;;230,19;
v;;22601;  Atenciones protocolarias y representativas;1,00;;
;;22603;  Jurídicos, contenciosos;8,19;;
;;22606;  Reuniones, conferencias y cursos;221,00;;
;;227;Trabajos realizados por otras empresas y profesionales;;728,93;
;;22700;  Limpieza y aseo;11,59;;
;;22701;  Seguridad;0,63;;
;;22706;  Estudios y trabajos técnicos;200,00;;
;;22799;  Otros;516,71;;
;;23;Indemnizaciones por razón del servicio;;1.345,56;
;;230;Dietas;;298,70;
;;231;Locomoción;;397,49;
;;233;Otras indemnizaciones;;649,37;
;;24;Gastos de publicaciones;;24,20;
;;240;Gastos de edición y distribución;;24,20;
;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;3.022,68;
 ; ;;;;;
v;;3;GASTOS FINANCIEROS;;;
v;;35;Intereses de demora y otros gastos financieros;;5,00;
v;;352;Intereses de demora;;5,00;
;;;TOTAL GASTOS FINANCIEROS;;5,00;
 ; ;;;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;48;A familias e instituciones sin fines de lucro;;952,12;
v;;483;Becas para la preparación de oposiciones al Cuerpo de Letrados de la Administración de Justicia;;793,44;
v;;485;Becas para la preparación de oposiciones al Cuerpo de Abogados del Estado;;158,68;
v;;49;Al exterior;;10,00;
v;;493;Otras aportaciones a proyectos europeos;;10,00;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;962,12;
 ; ;;;;;
v;;6;INVERSIONES REALES;;;
;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;407,00;
;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;407,00;
;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;370,00;
;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;370,00;
;;;TOTAL INVERSIONES REALES;;777,00;
 ; ;;;;;
v;;8;ACTIVOS FINANCIEROS;;;
v;;83;Concesión de préstamos fuera del Sector Público;;4,07;
v;;831;Préstamos a largo plazo;;4,07;
;;83108;  Familias e instituciones sin fines de lucro;4,07;;
;;;TOTAL ACTIVOS FINANCIEROS;;4,07;
 ; ;;;;;
;;;TOTAL Formación del Personal de la Administración de Justicia;;10.154,97;
 ; ;;;;;
 ; ;;;;;
v;111R;;Formación de la Carrera Fiscal;;;
v;;1;GASTOS DE PERSONAL;;;
;;12;Funcionarios;;3.201,79;
;;124;Retribuciones de funcionarios en prácticas;;3.201,79;
;;12400;  Sueldos del grupo A1 y grupo A;2.649,76;;
;;12406;  Pagas extraordinarias;552,03;;
;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;654,79;
;;160;Cuotas sociales;;654,79;
v;;16000;  Seguridad Social;654,79;;
;;;TOTAL GASTOS DE PERSONAL;;3.856,58;
 ; ;;;;;
v;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;22;Material, suministros y otros;;827,16;
;;223;Transportes;;39,00;
;;226;Gastos diversos;;295,00;
;;22606;  Reuniones, conferencias y cursos;295,00;;
;;227;Trabajos realizados por otras empresas y profesionales;;493,16;
;;22706;  Estudios y trabajos técnicos;54,00;;
;;22799;  Otros;439,16;;
