Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;1.515,67;1.515.670,00
10;Altos cargos;122,08;122.080,00
12;Funcionarios;1.136,04;1.136.040,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;257,55;257.550,00
16000;Seguridad Social (desglosado de la partida 16);257,55;257.550,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.220,50;2.220.500,00
22;Material, suministros y otros;2.102,50;2.102.500,00
23;Indemnizaciones por razón del servicio;118;118.000,00
4;TRANSFERENCIAS CORRIENTES;680;680.000,00
48;A familias e instituciones sin fines de lucro;677;677.000,00
480;Formación y sensibilización en igualdad de trato y diversidad;62;62.000,00
483;Transferencias en materia de igualdad de trato y diversidad LGTBI;615;615.000,00
48300;Fundación CEPAIM;100;100.000,00
48301;Asociación ASNUCI;75;75.000,00
48302;Cruz Roja Española;100;100.000,00
48303;Fundación FECONS;75;75.000,00
48304;Federación Andalucía Acoge;75;75.000,00
48305;Federación FELGTBI+;100;100.000,00
48306;Federación Plataforma Trans;60;60.000,00
48307;Fundación 26 de diciembre;30;30.000,00
49;Al exterior;3;3.000,00
492;Cuotas a Equinet – Red Europea de Organismos de Igualdad;3;3.000,00
6;INVERSIONES REALES;2.510,00;2.510.000,00
—;—;—;—
—;TOTAL PROGRAMA 232D;6.926,17;6.926.170,00
