Económica;Explicación;30.02 (K€);Total (K€);Total (€)
4;TRANSFERENCIAS CORRIENTES;18.542,45;18.542,45;18.542.450,00
41;A Organismos Autónomos;18.542,45;18.542,45;18.542.450,00
416;Al Instituto de las Mujeres, para el cumplimiento de sus fines;18.542,45;18.542,45;18.542.450,00
7;TRANSFERENCIAS DE CAPITAL;365;365;365.000,00
71;A Organismos Autónomos;365;365;365.000,00
716;Al Instituto de las Mujeres;365;365;365.000,00
—;TOTAL PROGRAMA 000X – Transferencias y libramientos internos;—;18.907,45;18.907.450,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
