Económica;Explicación;30.02 (K€);Total (K€);Total (€)
1;GASTOS DE PERSONAL;1.515,67;1.515,67;1.515.670,00
10;Altos cargos;122,08;122,08;122.080,00
12;Funcionarios;1.136,04;1.136,04;1.136.040,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;257,55;257,55;257.550,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.220,50;2.220,50;2.220.500,00
22;Material, suministros y otros;2.102,50;2.102,50;2.102.500,00
23;Indemnizaciones por razón del servicio;118;118;118.000,00
4;TRANSFERENCIAS CORRIENTES;680;680;680.000,00
48;A familias e instituciones sin fines de lucro;677;677;677.000,00
49;Al exterior;3;3;3.000,00
6;INVERSIONES REALES;2.510,00;2.510,00;2.510.000,00
64;Gastos de inversiones de carácter inmaterial;2.510,00;2.510,00;2.510.000,00
—;TOTAL PROGRAMA 232D;—;6.926,17;6.926.170,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
