Orgánica;Unidad;Capítulo;Explicación;Importe (K€);Importe (€)
30.02;Secretaría de Estado;4;A Comunidades Autónomas;130.202,02;130.202.020,00
30.02;Secretaría de Estado;4;450 – Competencias CC.AA. Pacto de Estado;90.000,00;90.000.000,00
30.02;Secretaría de Estado;4;452 – Atención a mujeres víctimas de todas las violencias;40.202,02;40.202.020,00
30.02;Secretaría de Estado;4;A Entidades Locales;40.000,00;40.000.000,00
30.02;Secretaría de Estado;4;460 – Competencias Entidades Locales Pacto de Estado;40.000,00;40.000.000,00
30.02;Secretaría de Estado;7;750 – Transferencias de capital a CC.AA. Pacto de Estado;10.000,00;10.000.000,00
—;Total Secretaría de Estado;—;—;180.202,02;180.202.020,00
30.03;Delegación del Gobierno;1;Altos cargos;61,04;61.040,00
30.03;Delegación del Gobierno;1;Funcionarios;2.138,89;2.138.890,00
30.03;Delegación del Gobierno;1;Seguridad Social;356,13;356.130,00
30.03;Delegación del Gobierno;2;Material, suministros y otros;6.602,27;6.602.270,00
30.03;Delegación del Gobierno;2;Indemnizaciones por razón del servicio;115,00;115.000,00
30.03;Delegación del Gobierno;4;A Comunidades Autónomas;19.800,00;19.800.000,00
30.03;Delegación del Gobierno;4;450 – Asistencia social a mujeres víctimas;8.500,00;8.500.000,00
30.03;Delegación del Gobierno;4;451 – Coordinación y planes personalizados;1.000,00;1.000.000,00
30.03;Delegación del Gobierno;4;455 – Apoyo a víctimas de agresiones sexuales;9.500,00;9.500.000,00
30.03;Delegación del Gobierno;4;456 – Prevención de abusos sexuales en menores tuteladas;800;800.000,00
30.03;Delegación del Gobierno;4;A familias e instituciones sin fines de lucro;33.768,00;33.768.000,00
30.03;Delegación del Gobierno;4;480 – Ayudas sociales (art. 27 LO 1/2004);8.000,00;8.000.000,00
30.03;Delegación del Gobierno;4;481 – Becas Observatorio Estatal;100,00;100.000,00
30.03;Delegación del Gobierno;4;482 – Convenio FEMP;80,00;80.000,00
30.03;Delegación del Gobierno;4;483 – Teleasistencia móvil;8.200,00;8.200.000,00
30.03;Delegación del Gobierno;4;484 – Atención a víctimas de trata;7.000,00;7.000.000,00
30.03;Delegación del Gobierno;4;485 – Premios a tesis;8;8.000,00
30.03;Delegación del Gobierno;4;486 – Subvenciones nominativas;1.380,00;1.380.000,00
30.03;Delegación del Gobierno;4;48600–48606 – Detalle entidades subvencionadas;1.180,00;1.180.000,00
30.03;Delegación del Gobierno;4;487 – Ayudas sociales (art. 41 LO 10/2022);1.000,00;1.000.000,00
30.03;Delegación del Gobierno;4;488 – Subvenciones públicas en concurrencia;7.000,00;7.000.000,00
30.03;Delegación del Gobierno;4;489 – Otros programas;1.000,00;1.000.000,00
30.03;Delegación del Gobierno;4;490 – Iniciativa Iberoamericana (SEGIB);50;50.000,00
30.03;Delegación del Gobierno;6;Inversiones reales;16.623,54;16.623.540,00
—;Total Delegación del Gobierno;—;—;79.514,87;79.514.870,00
—;TOTAL PROGRAMA 232C;—;—;259.716,89;259.716.890,00
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
