Económica;Explicación;25.09 (mil €);25.10 (mil €);Total (mil €);Total (€)
1;Gastos de personal;341,85;492,39;834,24;834.240,00
12;Funcionarios;299,35;437,39;736,74;736.740,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;42,5;55;97,5;97.500,00
2;Gastos corrientes en bienes y servicios;120;254;374;374.000,00
22;Material, suministros y otros;120;254;374;374.000,00
4;Transferencias corrientes;—;105;105;105.000,00
48;A familias e instituciones sin fines de lucro;—;60;60;60.000,00
49;Al exterior;—;45;45;45.000,00
6;Inversiones reales;333,84;50;383,84;383.840,00
64;Gastos de inversiones de carácter inmaterial;333,84;50;383,84;383.840,00
7;Transferencias de capital;4.475,00;550;5.025,00;5.025.000,00
75;A Comunidades Autónomas;250;—;250;250.000,00
76;A Entidades Locales;4.000,00;250;4.250,00;4.250.000,00
78;A familias e instituciones sin fines de lucro;225;190;415;415.000,00
79;Al exterior;—;110;110;110.000,00
—;TOTAL PROGRAMA 261P – Urbanismo y política del suelo;5.270,69;1.451,39;6.722,08;6.722.080,00
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
