Económica;Explicación;Orgánica;Total (mil €);Total (€)
1;Gastos de personal;25.10;1.777,12;1.777.120,00
10;Altos cargos;25.10;61,04;61.040,00
12;Funcionarios;25.10;1.404,58;1.404.580,00
13;Laborales;25.10;101,5;101.500,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;25.10;210;210.000,00
2;Gastos corrientes en bienes y servicios;25.10;972,25;972.250,00
22;Material, suministros y otros;25.10;972,25;972.250,00
4;Transferencias corrientes;25.10;300;300.000,00
48;A familias e instituciones sin fines de lucro;25.10;300;300.000,00
6;Inversiones reales;25.10;24.450,00;24.450.000,00
61;Inversión en infraestructuras y bienes de uso general;25.10;24.000,00;24.000.000,00
64;Gastos de inversiones de carácter inmaterial;25.10;450;450.000,00
7;Transferencias de capital;25.10;2.942,45;2.942.450,00
74;A entidades del sector público estatal;25.10;256,49;256.490,00
75;A Comunidades Autónomas;25.10;206,49;206.490,00
76;A Entidades Locales;25.10;36,49;36.490,00
77;A empresas privadas;25.10;6,49;6.490,00
78;A familias e instituciones sin fines de lucro;25.10;2.436,49;2.436.490,00
—;TOTAL PROGRAMA 261O – Dirección General de Agenda Urbana y Arquitectura;25.10;30.441,82;30.441.820,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
