Económica;Explicación;Orgánica;Total (mil €);Total (€)
1;Gastos de personal;25.09;341,85;341.850,00
12;Funcionarios;25.09;299,35;299.350,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;25.09;42,5;42.500,00
2;Gastos corrientes en bienes y servicios;25.09;120;120.000,00
22;Material, suministros y otros;25.09;120;120.000,00
6;Inversiones reales;25.09;333,84;333.840,00
7;Transferencias de capital;25.09;4.475,00;4.475.000,00
75–78;A CCAA, entidades locales, instituciones sin ánimo de lucro;25.09;4.475,00;4.475.000,00
—;Total Dirección General de Vivienda y Suelo;25.09;5.270,69;5.270.690,00
1;Gastos de personal;25.10;492,39;492.390,00
12;Funcionarios;25.10;437,39;437.390,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;25.10;55;55.000,00
2;Gastos corrientes en bienes y servicios;25.10;254;254.000,00
22;Material, suministros y otros;25.10;254;254.000,00
4;Transferencias corrientes;25.10;105;105.000,00
48–49;Premios Agenda Urbana y cuotas internacionales;25.10;105;105.000,00
6;Inversiones reales;25.10;50;50.000,00
7;Transferencias de capital;25.10;550;550.000,00
76–79;A entidades locales, fundaciones, asociaciones y organismos internacionales;25.10;550;550.000,00
—;Total Dirección General de Agenda Urbana y Arquitectura;25.10;1.451,39;1.451.390,00
—;TOTAL PROGRAMA 261P – Urbanismo y política del suelo;—;6.722,08;6.722.080,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
