;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 25 MINISTERIO DE VIVIENDA Y AGENDA URBANA;
;Programa: 261M Dirección y Servicios Generales de Vivienda y Agenda Urbana;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;25.01;;Total;
1;GASTOS DE PERSONAL;3.969,00;;3.969,00;
10; Altos cargos;151,94;;151,94;
11; Personal eventual;194,97;;194,97;
12; Funcionarios;1.886,09;;1.886,09;
15; Incentivos al rendimiento;1.206,00;;1.206,00;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;530,00;;530,00;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;285,00;;285,00;
22; Material, suministros y otros;35,00;;35,00;
23; Indemnizaciones por razón del servicio;250,00;;250,00;
;TOTAL;4.254,00;;4.254,00;
;;



