Económica;Explicación;Importe (mil €);Importe (€)
1;Gastos de personal;;
10;Altos cargos;151,94;151.940,00
11;Personal eventual;194,97;194.970,00
12;Funcionarios;1.886,09;1.886.090,00
15;Incentivos al rendimiento;1.206,00;1.206.000,00
150;Productividad;1.144,00;1.144.000,00
151;Gratificaciones;62;62.000,00
16;Cuotas y gastos sociales a cargo del empleador;530;530.000,00
16000;Seguridad Social;530;530.000,00
—;Total gastos de personal;3.969,00;3.969.000,00
2;Gastos corrientes en bienes y servicios;;
22;Material, suministros y otros;35;35.000,00
22601;Atenciones protocolarias y representativas;20;20.000,00
23;Indemnizaciones por razón del servicio;250;250.000,00
—;Total gastos corrientes en bienes y servicios;285;285.000,00
—;Total Ministerio, Subsecretaría y Servicios Generales;4.254,00;4.254.000,00
