Económica;Explicación;Orgánica;Total (miles euros);Total (euros)
1;Gastos de personal;25.09;2.182,33;2.182.330,00
10;Altos cargos;25.09;61,04;61.040,00
12;Funcionarios;25.09;1.847,43;1.847.430,00
13;Laborales;25.09;73,86;73.860,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;25.09;200;200.000,00
2;Gastos corrientes en bienes y servicios;25.09;241,3;241.300,00
22;Material, suministros y otros;25.09;241,3;241.300,00
22601;Atenciones protocolarias y representativas;25.09;2,25;2.250,00
3;Gastos financieros;25.09;1.630,00;1.630.000,00
353;Gastos Línea ICO Rehabilitación;25.09;1.600,00;1.600.000,00
359;Otros gastos financieros;25.09;30;30.000,00
4;Transferencias corrientes;25.09;3.000,00;3.000.000,00
44–48;A entidades públicas y familias (incluye compensaciones ICO y ayudas COVID-19);25.09;3.000,00;3.000.000,00
6;Inversiones reales;25.09;350;350.000,00
7;Transferencias de capital;25.09;691.948,12;691.948.120,00
74–78;A SEPES, Comunidades Autónomas, Entidades Locales, Instituciones sin fines de lucro, Planes de Vivienda, etc.;25.09;691.948,12;691.948.120,00
8;Activos financieros;25.09;260.000,00;260.000.000,00
871;SEPES – Plan de viviendas para alquiler asequible;25.09;260.000,00;260.000.000,00
9;Pasivos financieros;25.09;165;165.000,00
941;Devolución de fianzas;25.09;165;165.000,00
—;TOTAL DIRECCIÓN GENERAL DE VIVIENDA Y SUELO;25.09;959.516,75;959.516.750,00
—;TOTAL PROGRAMA 261N;25.09;959.516,75;959.516.750,00
