Económica;Explicación;Orgánica;Total (mil €);Total (€)
1;Gastos de personal;25.09;2.182,33;2.182.330,00
10;Altos cargos;25.09;61,04;61.040,00
12;Funcionarios;25.09;1.847,43;1.847.430,00
13;Laborales;25.09;73,86;73.860,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;25.09;200;200.000,00
2;Gastos corrientes en bienes y servicios;25.09;241,3;241.300,00
22;Material, suministros y otros;25.09;241,3;241.300,00
3;Gastos financieros;25.09;1.630,00;1.630.000,00
35;Intereses de demora y otros gastos financieros;25.09;1.630,00;1.630.000,00
4;Transferencias corrientes;25.09;3.000,00;3.000.000,00
44;A entidades del sector público estatal;25.09;2.000,00;2.000.000,00
48;A familias e instituciones sin fines de lucro;25.09;1.000,00;1.000.000,00
6;Inversiones reales;25.09;350;350.000,00
64;Gastos de inversiones de carácter inmaterial;25.09;350;350.000,00
7;Transferencias de capital;25.09;691.948,12;691.948.120,00
74;A entidades del sector público estatal;25.09;185;185.000,00
75;A Comunidades Autónomas;25.09;595.869,00;595.869.000,00
76;A Entidades Locales;25.09;32.919,12;32.919.120,00
78;A familias e instituciones sin fines de lucro;25.09;62.975,00;62.975.000,00
8;Activos financieros;25.09;260.000,00;260.000.000,00
87;Aportaciones patrimoniales;25.09;260.000,00;260.000.000,00
9;Pasivos financieros;25.09;165;165.000,00
94;Devolución de depósitos y fianzas;25.09;165;165.000,00
—;TOTAL PROGRAMA 261N – Dirección General de Vivienda y Suelo;25.09;959.516,75;959.516.750,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
