Económica;Explicación;12.01 ;Total (miles euros);Total (euros)
1; Gastos de Personal;59.700,77;59.700,77;59.700.770,00
10;Altos cargos;452,65;452,65;452.650,00
11;Personal eventual;822,94;822,94;822.940,00
12;Funcionarios;44.557,16;44.557,16;44.557.160,00
13;Laborales;3.511,41;3.511,41;3.511.410,00
15;Incentivos al rendimiento;5.713,70;5.713,70;5.713.700,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;4.642,91;4.642,91;4.642.910,00
2; Gastos Corrientes en Bienes y Servicios;23.735,97;23.735,97;23.735.970,00
20;Arrendamientos y cánones;500;500;500.000,00
21;Reparaciones, mantenimiento y conservación;4.043,45;4.043,45;4.043.450,00
22;Material, suministros y otros;14.345,44;14.345,44;14.345.440,00
23;Indemnizaciones por razón del servicio;4.777,08;4.777,08;4.777.080,00
24;Gastos de publicaciones;70;70;70.000,00
3;?? Gastos Financieros;6;6;6.000,00
35;Intereses de demora y otros gastos financieros;6;6;6.000,00
4;?? Transferencias Corrientes;543,19;543,19;543.190,00
44;A entidades del Sector Público Estatal;33,06;33,06;33.060,00
48;A familias e instituciones sin fines de lucro;507,12;507,12;507.120,00
49;Al exterior;3,01;3,01;3.010,00
6; Inversiones Reales;11.869,80;11.869,80;11.869.800,00
62;Inversión nueva asociada al funcionamiento operativo;8.051,08;8.051,08;8.051.080,00
63;Inversión de reposición asociada al funcionamiento operativo;3.818,72;3.818,72;3.818.720,00
8; Activos Financieros;22,8;22,8;22.800,00
83;Concesión de préstamos fuera del Sector Público;22,8;22,8;22.800,00
—;TOTAL PROGRAMA 141M;95.878,53;95.878,53;95.878.530,00
