;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 12 MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN;
;Programa: 142B Acción Diplomática ante la Unión Europea;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;12.02;;Total;
1;GASTOS DE PERSONAL;19.033,69;;19.033,69;
10; Altos cargos;334,53;;334,53;
11; Personal eventual;256,06;;256,06;
12; Funcionarios;13.992,37;;13.992,37;
13; Laborales;3.000,09;;3.000,09;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.450,64;;1.450,64;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.174,83;;4.174,83;
20; Arrendamientos y cánones;13,80;;13,80;
21; Reparaciones, mantenimiento y conservación;403,57;;403,57;
22; Material, suministros y otros;2.628,31;;2.628,31;
23; Indemnizaciones por razón del servicio;1.129,15;;1.129,15;
3;GASTOS FINANCIEROS;0,89;;0,89;
35; Intereses de demora y otros gastos financieros;0,89;;0,89;
4;TRANSFERENCIAS CORRIENTES;684,56;;684,56;
48; A familias e instituciones sin fines de lucro;684,56;;684,56;
6;INVERSIONES REALES;505,78;;505,78;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;116,02;;116,02;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;389,76;;389,76;
;TOTAL;24.399,75;;24.399,75;
;;



