Económica;Explicación;12.02;Total (miles euros);Total (euros)
1;Gastos de Personal;19.033,69;19.033,69;19.033.690,00
10;Altos cargos;334,53;334,53;334.530,00
11;Personal eventual;256,06;256,06;256.060,00
12;Funcionarios;13.992,37;13.992,37;13.992.370,00
13;Laborales;3.000,09;3.000,09;3.000.090,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.450,64;1.450,64;1.450.640,00
2;Gastos Corrientes en Bienes y Servicios;4.174,83;4.174,83;4.174.830,00
20;Arrendamientos y cánones;13,8;13,8;13.800,00
21;Reparaciones, mantenimiento y conservación;403,57;403,57;403.570,00
22;Material, suministros y otros;2.628,31;2.628,31;2.628.310,00
23;Indemnizaciones por razón del servicio;1.129,15;1.129,15;1.129.150,00
3;Gastos Financieros;0,89;0,89;890
35;Intereses de demora y otros gastos financieros;0,89;0,89;890
4;Transferencias Corrientes;684,56;684,56;684.560,00
48;A familias e instituciones sin fines de lucro;684,56;684,56;684.560,00
6;Inversiones Reales;505,78;505,78;505.780,00
62;Inversión nueva asociada al funcionamiento operativo;116,02;116,02;116.020,00
63;Inversión de reposición asociada al funcionamiento operativo;389,76;389,76;389.760,00
—;TOTAL PROGRAMA 142B;24.399,75;24.399,75;24.399.750,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
