;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 26 MINISTERIO DE SANIDAD;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;59.170,03;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;64.426,05;
4; TRANSFERENCIAS CORRIENTES;529.269,31;
;TOTAL OPERACIONES CORRIENTES;652.865,39;
6; INVERSIONES REALES;27.679,73;
7; TRANSFERENCIAS DE CAPITAL;591.373,61;
;TOTAL OPERACIONES DE CAPITAL;619.053,34;
;TOTAL OPERACIONES NO FINANCIERAS;1.271.918,73;
8; ACTIVOS FINANCIEROS;40,50;
;TOTAL PRESUPUESTO;1.271.959,23;
4; TRANSFERENCIAS CORRIENTES;-293.026,57;
7; TRANSFERENCIAS DE CAPITAL;-22.364,90;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-315.391,47;
;TOTAL CONSOLIDADO;956.567,76;
;;



