Económica;Explicación;26.01;26.02;26.03;26.04;26.05;26.07;26.09;26.12;26.18;Total (miles euros);Total (euros)
10;Altos cargos;208,56;61,04;71,16;80,3;61,04;61,04;61,04;61,04;61,04;726,26;726.260,00
11;Personal eventual;528;–;–;254,57;–;–;–;–;–;782,57;782.570,00
12;Funcionarios;18.676,22;2.693,45;2.984,19;489,07;3.984,08;7.010,01;3.487,70;2.760,18;2.317,39;44.402,29;44.402.290,00
13;Laborales;351,65;252,64;107,96;–;689,12;259,95;23,77;110,55;116,66;1.912,30;1.912.300,00
15;Incentivos al rendimiento;5.356,62;–;–;–;–;–;–;–;–;5.356,62;5.356.620,00
16;Cuotas, prestaciones y gastos sociales;1.668,63;293,14;461,71;166,68;631,77;1.317,49;665,09;439,99;345,49;5.989,99;5.989.990,00
20;Arrendamientos y cánones;137,33;–;–;–;200,76;–;–;–;–;338,09;338.090,00
21;Reparaciones, mantenimiento y conservación;776,36;–;–;–;1.500,00;130;–;–;72;2.478,36;2.478.360,00
22;Material, suministros y otros;2.512,78;500,66;3.315,00;142,03;11.761,10;30.485,21;6.323,70;1.897,97;926,73;57.865,18;57.865.180,00
23;Indemnizaciones por razón del servicio;1.280,16;133,13;330,00;124,24;–;287,40;32,00;1.270,10;94,85;3.551,88;3.551.880,00
24;Gastos de publicaciones;–;155,54;–;–;–;–;–;–;37;192,54;192.540,00
44;A entidades del Sector Público Estatal;–;772,06;–;–;–;–;–;–;–;772,06;772.060,00
45;A Comunidades Autónomas;–;–;2.006,95;–;106.069,07;112.593,00;–;–;9.522,40;230.191,42;230.191.420,00
46;A Entidades Locales;–;–;–;–;–;–;–;–;3;3;3.000,00
48;A familias e instituciones sin fines de lucro;–;–;–;–;2.163,77;–;1.002,49;–;–;3.166,26;3.166.260,00
49;Al exterior;–;1.581,00;–;–;526;–;–;–;3;2.110,00;2.110.000,00
62;Inversión nueva funcionamiento operativo;161,40;6,8;–;–;137,50;451,00;24.303,00;3,00;–;25.062,70;25.062.700,00
63;Reposición funcionamiento operativo;1.666,34;–;–;–;61,94;–;–;–;–;1.728,28;1.728.280,00
64;Inversiones de carácter inmaterial;200;–;3;3;661,60;18,15;3;3;–;888,75;888.750,00
74;A entidades del Sector Público Estatal;–;24,92;–;–;–;–;–;–;–;24,92;24.920,00
75;A Comunidades Autónomas;–;–;–;–;568.374,00;–;125,17;–;–;568.499,17;568.499.170,00
78;A familias e instituciones sin fines de lucro;–;–;–;–;–;–;–;–;484,62;484,62;484.620,00
83;Préstamos fuera del Sector Público;40,5;–;–;–;–;–;–;–;–;40,5;40.500,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;–;–;9.421,67;–;305.969,80;–;–;–;–;315.391,47;315.391.470,00
—;TOTAL MINISTERIO DE SANIDAD;33.564,55;6.474,38;9.276,97;10.681,56;19.688,91;717.153,09;453.462,10;6.545,83;15.111,84;1.271.959,23;1.271.959.230,00
