Servicio;Programa;Económica;Explicación;Total (miles €);Total (€)
1;311M;10;Altos cargos;208,56;208.560,00
1;311M;11;Personal eventual;528;528.000,00
1;311M;12;Funcionarios;18.676,22;18.676.220,00
1;311M;13;Laborales;351,65;351.650,00
1;311M;15;Incentivos al rendimiento;5.356,62;5.356.620,00
1;311M;16;Cuotas, prestaciones y gastos sociales;1.668,63;1.668.630,00
—;—;—;TOTAL GASTOS DE PERSONAL;26.789,68;26.789.680,00
1;311M;20;Arrendamientos y cánones;137,33;137.330,00
1;311M;21;Reparaciones, mantenimiento y conservación;776,36;776.360,00
1;311M;22;Material, suministros y otros;2.512,78;2.512.780,00
1;311M;23;Indemnizaciones por razón del servicio;1.280,16;1.280.160,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.706,63;4.706.630,00
1;311M;62;Inversión nueva funcionamiento operativo;161,4;161.400,00
1;311M;63;Inversión de reposición funcionamiento operativo;1.666,34;1.666.340,00
1;311M;64;Gastos de inversiones de carácter inmaterial;200;200.000,00
—;—;—;TOTAL INVERSIONES REALES;2.027,74;2.027.740,00
1;311M;83;Concesión de préstamos fuera del Sector Público;40,5;40.500,00
—;—;—;TOTAL ACTIVOS FINANCIEROS;40,5;40.500,00
—;—;—;TOTAL Programa 311M – Dirección y Servicios Generales de Sanidad;33.564,55;33.564.550,00
2;311M;10;Altos cargos;61,04;61.040,00
2;311M;12;Funcionarios;2.693,45;2.693.450,00
2;311M;13;Laborales;252,64;252.640,00
2;311M;16;Cuotas, prestaciones y gastos sociales;293,14;293.140,00
—;—;—;TOTAL GASTOS DE PERSONAL;3.300,27;3.300.270,00
2;311M;22;Material, suministros y otros;500,66;500.660,00
2;311M;23;Indemnizaciones por razón del servicio;133,13;133.130,00
2;311M;24;Gastos de publicaciones;155,54;155.540,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;789,33;789.330,00
2;311M;44;A entidades del Sector Público Estatal;772,06;772.060,00
2;311M;49;Al exterior;1.581,00;1.581.000,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;2.353,06;2.353.060,00
2;311M;62;Inversión nueva funcionamiento operativo;6,8;6.800,00
—;—;—;TOTAL INVERSIONES REALES;6,8;6.800,00
2;311M;74;A entidades del Sector Público Estatal;24,92;24.920,00
—;—;—;TOTAL TRANSFERENCIAS DE CAPITAL;24,92;24.920,00
—;—;—;TOTAL Programa 311M – Dirección y Servicios Generales de Sanidad;6.474,38;6.474.380,00
3;313E;10;Altos cargos;71,16;71.160,00
3;313E;12;Funcionarios;2.984,19;2.984.190,00
3;313E;13;Laborales;107,96;107.960,00
3;313E;16;Cuotas, prestaciones y gastos sociales;461,71;461.710,00
—;—;—;TOTAL GASTOS DE PERSONAL;3.625,02;3.625.020,00
3;313E;22;Material, suministros y otros;3.315,00;3.315.000,00
3;313E;23;Indemnizaciones por razón del servicio;330;330.000,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.645,00;3.645.000,00
3;313E;45;A Comunidades Autónomas;2.006,95;2.006.950,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;2.006,95;2.006.950,00
—;—;—;TOTAL Programa 313E – Salud Digital, Información e Innovación del SNS;9.276,97;9.276.970,00
4;311O;10;Altos cargos;80,3;80.300,00
4;311O;11;Personal eventual;254,57;254.570,00
4;311O;12;Funcionarios;489,07;489.070,00
4;311O;16;Cuotas, prestaciones y gastos sociales;166,68;166.680,00
—;—;—;TOTAL GASTOS DE PERSONAL;990,62;990.620,00
4;311O;22;Material, suministros y otros;142,03;142.030,00
4;311O;23;Indemnizaciones por razón del servicio;124,24;124.240,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;266,27;266.270,00
4;311O;64;Gastos de inversiones de carácter inmaterial;3;3.000,00
—;—;—;TOTAL INVERSIONES REALES;3;3.000,00
