;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 26 MINISTERIO DE SANIDAD;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;MINISTERIO Y SUBSECRETARÍA;;;
v;;311M;;Dirección y Servicios Generales de Sanidad;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;208,56;
;;;100;Retribuciones básicas y otras remuneraciones;;208,56;
;;;10000; Retribuciones básicas;114,61;;
;;;10001; Retribuciones complementarias;93,95;;
v;;;11;Personal eventual;;528,00;
;;;110;Retribuciones básicas y otras remuneraciones;;528,00;
;;;11000; Retribuciones básicas;198,29;;
;;;11001; Retribuciones complementarias;329,71;;
v;;;12;Funcionarios;;18.676,22;
;;;120;Retribuciones básicas;;3.639,41;
;;;12000; Sueldos del grupo A1 y grupo A;767,22;;
;;;12001; Sueldos del grupo A2 y grupo B;976,79;;
;;;12002; Sueldos del grupo C1 y grupo C;430,56;;
;;;12003; Sueldos del grupo C2 y grupo D;231,26;;
;;;12004; Sueldos personal de agrupaciones profesionales y grupo E;6,83;;
;;;12005; Trienios;675,40;;
;;;12006; Pagas extraordinarias;551,35;;
;;;121;Retribuciones complementarias;;14.415,92;
;;;12100; Complemento de destino;1.708,18;;
;;;12101; Complemento específico;1.961,74;;
;;;12181; Necesidades adicionales;10.746,00;;
;;;123;Indemnizaciones percibidas por destino en el extranjero;;120,89;
;;;12300; Indemnización por destino en el extranjero;120,89;;
;;;124;Retribuciones de funcionarios en prácticas;;500,00;
;;;12400; Sueldos del grupo A1 y grupo A;300,00;;
;;;12401; Sueldos del grupo A2 y grupo B;100,00;;
;;;12405; Trienios;10,00;;
;;;12406; Pagas extraordinarias;90,00;;
v;;;13;Laborales;;351,65;
;;;130;Laboral fijo;;351,65;
;;;13000; Retribuciones básicas;319,85;;
;;;13001; Otras remuneraciones;31,80;;
v;;;15;Incentivos al rendimiento;;5.356,62;
v;;;150;Productividad;;5.272,14;
v;;;151;Gratificaciones;;84,48;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;1.668,63;
;;;160;Cuotas sociales;;1.358,02;
v;;;16000; Seguridad Social;1.358,02;;
;;;162;Gastos sociales del personal;;310,61;
v;;;16200; Formación y perfeccionamiento del personal;93,04;;
v;;;16204; Acción social;79,48;;
;;;16205; Seguros;32,60;;
;;;16209; Otros;105,49;;
;;;;TOTAL GASTOS DE PERSONAL;;26.789,68;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;20;Arrendamientos y cánones;;137,33;
v;;;202;Arrendamientos de edificios y otras construcciones;;125,00;
;;;203;Arrendamientos de maquinaria, instalaciones y utillaje;;3,64;
;;;205;Arrendamientos de mobiliario y enseres;;8,69;
v;;;21;Reparaciones, mantenimiento y conservación;;776,36;
;;;212;Edificios y otras construcciones;;130,00;
;;;213;Maquinaria, instalaciones y utillaje;;440,61;
;;;214;Elementos de transporte;;0,73;
;;;215;Mobiliario y enseres;;185,02;
;;;216;Equipos para procesos de la información;;20,00;
v;;;22;Material, suministros y otros;;2.512,78;
;;;220;Material de oficina;;191,57;
;;;22000; Ordinario no inventariable;120,00;;
;;;22001; Prensa, revistas, libros y otras publicaciones;10,00;;
;;;22002; Material informático no inventariable;61,57;;
;;;221;Suministros;;365,83;
;;;22100; Energía eléctrica;25,00;;
;;;22101; Agua;10,00;;
;;;22102; Gas;4,50;;
;;;22103; Combustible;15,00;;
;;;22104; Vestuario;20,00;;
;;;22106; Productos farmacéuticos y material sanitario;10,00;;
v;;;22109; Labores Fábrica Nacional Moneda y Timbre;1,46;;
;;;22111; Suministros de repuestos de maquinaria, utillaje y elementos de transporte;42,26;;
;;;22112; Suministros de material electrónico, eléctrico y de comunicaciones;129,76;;
;;;22199; Otros suministros;107,85;;
;;;222;Comunicaciones;;24,38;
;;;22200; Servicios de telecomunicaciones;1,00;;
;;;22201; Postales y mensajería;16,10;;
;;;22299; Otras;7,28;;
;;;223;Transportes;;300,00;
;;;224;Primas de seguros;;0,73;
;;;225;Tributos;;25,73;
;;;22500; Estatales;0,73;;
v;;;22502; Locales;25,00;;
;;;226;Gastos diversos;;362,58;
v;;;22601; Atenciones protocolarias y representativas;66,73;;
;;;22602; Publicidad y propaganda;50,96;;
;;;22603; Jurídicos, contenciosos;15,00;;
;;;22606; Reuniones, conferencias y cursos;150,00;;
;;;22607; Oposiciones y pruebas selectivas;76,00;;
;;;22610; Actividades realizadas mediante convenio;3,00;;
;;;22699; Otros;0,89;;
;;;227;Trabajos realizados por otras empresas y profesionales;;1.241,96;
;;;22700; Limpieza y aseo;20,00;;
;;;22701; Seguridad;40,00;;
;;;22705; Procesos electorales y consultas populares;2,00;;
;;;22706; Estudios y trabajos técnicos;872,21;;
;;;22799; Otros;307,75;;
v;;;23;Indemnizaciones por razón del servicio;;1.280,16;
;;;230;Dietas;;358,90;
;;;231;Locomoción;;404,86;
;;;232;Traslado;;20,00;
;;;233;Otras indemnizaciones;;496,40;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;4.706,63;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;161,40;
;;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;161,40;
;;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;1.666,34;
;;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;1.666,34;
;;;64;Gastos de inversiones de carácter inmaterial;;200,00;
;;;640;Gastos en inversiones de carácter inmaterial;;200,00;
;;;;TOTAL INVERSIONES REALES;;2.027,74;
 ; ;;;;;;
v;;;8;ACTIVOS FINANCIEROS;;;
v;;;83;Concesión de préstamos fuera del Sector Público;;40,50;
v;;;830;Préstamos a corto plazo;;2,50;
;;;83008; Familias e instituciones sin fines de lucro;2,50;;
v;;;831;Préstamos a largo plazo;;38,00;
;;;83108; Familias e instituciones sin fines de lucro;38,00;;
;;;;TOTAL ACTIVOS FINANCIEROS;;40,50;
 ; ;;;;;;
;;;;TOTAL Dirección y Servicios Generales de Sanidad;;33.564,55;
 ; ;;;;;;
;;;;TOTAL MINISTERIO Y SUBSECRETARÍA;;33.564,55;
 ; ;;;;;;
 ; ;;;;;;
v;02;;;SECRETARÍA GENERAL TÉCNICA;;;
v;;311M;;Dirección y Servicios Generales de Sanidad;;;
v;;;1;GASTOS DE PERSONAL;;;
