Capítulo;Explicación;08.01 ;Importe (miles Euros);Importe (euros)
1;Gastos de Personal;2.807,86;2.807,86;2.807.860,00
12;Funcionarios;2.187,52;2.187,52;2.187.520,00
13;Laborales;343,99;343,99;343.990,00
15;Incentivos al rendimiento;3,15;3,15;3.150,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;273,2;273,2;273.200,00
2;Gastos Corrientes en Bienes y Servicios;7.871,85;7.871,85;7.871.850,00
20;Arrendamientos y cánones;32;32;32.000,00
21;Reparaciones, mantenimiento y conservación;503,6;503,6;503.600,00
22;Material, suministros y otros;7.122,25;7.122,25;7.122.250,00
23;Indemnizaciones por razón del servicio;67;67;67.000,00
24;Gastos de publicaciones;147;147;147.000,00
6;Inversiones Reales;260,1;260,1;260.100,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;256,9;256,9;256.900,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;3,2;3,2;3.200,00
—;TOTAL PROGRAMA 111P;10.939,81;10.939,81;10.939.810,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
