Capítulo;Explicación;08.01;Importe (miles Euros);Importe (euros)
1;GASTOS DE PERSONAL;31.079,62;31.079,62;31.079.620,00
10;Altos cargos;3.027,17;3.027,17;3.027.170,00
11;Personal eventual;3.568,76;3.568,76;3.568.760,00
12;Funcionarios;19.660,93;19.660,93;19.660.930,00
13;Laborales;992,59;992,59;992.590,00
15;Incentivos al rendimiento;1.063,00;1.063,00;1.063.000,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;2.767,17;2.767,17;2.767.170,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;9.419,26;9.419,26;9.419.260,00
20;Arrendamientos y cánones;132,5;132,5;132.500,00
21;Reparaciones, mantenimiento y conservación;1.641,69;1.641,69;1.641.690,00
22;Material, suministros y otros;5.256,93;5.256,93;5.256.930,00
23;Indemnizaciones por razón del servicio;2.388,14;2.388,14;2.388.140,00
4;TRANSFERENCIAS CORRIENTES;438,65;438,65;438.650,00
48;A familias e instituciones sin fines de lucro;426,1;426,1;426.100,00
49;Al exterior;12,55;12,55;12.550,00
6;INVERSIONES REALES;2.270,72;2.270,72;2.270.720,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;1.834,72;1.834,72;1.834.720,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;436;436;436.000,00
8;ACTIVOS FINANCIEROS;50;50;50.000,00
83;Concesión de préstamos fuera del Sector Público;50;50;50.000,00
—;TOTAL PRESUPUESTO PROGRAMA 111M;43.258,25;43.258,25;43.258.250,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
