Capítulo;Explicación;08.01 ;Importe (miles Euros);Importe (euros)
10;Altos cargos;3.027,17;3.027,17;3.027.170,00
11;Personal eventual;3.568,76;3.568,76;3.568.760,00
12;Funcionarios;19.660,93;19.660,93;19.660.930,00
13;Laborales;992,59;992,59;992.590,00
15;Incentivos al rendimiento;1.063,00;1.063,00;1.063.000,00
150;Productividad;1.031,44;1.031,44;1.031.440,00
151;Gratificaciones;31,56;31,56;31.560,00
16;Cuotas y gastos sociales a cargo del empleador;2.767,17;2.767,17;2.767.170,00
16000;Seguridad Social;1.776,00;1.776,00;1.776.000,00
16200;Formación y perfeccionamiento del personal;80;80;80.000,00
16201;Economatos y comedores;224,48;224,48;224.480,00
16204;Acción social;502,94;502,94;502.940,00
—;TOTAL GASTOS DE PERSONAL;31.079,62;31.079,62;31.079.620,00
20;Arrendamientos y cánones;132,5;132,5;132.500,00
21;Reparaciones, mantenimiento y conservación;1.641,69;1.641,69;1.641.690,00
22;Material, suministros y otros;5.256,93;5.256,93;5.256.930,00
22502;Locales;194;194;194.000,00
22601;Atenciones protocolarias y representativas;235,71;235,71;235.710,00
23;Indemnizaciones por razón del servicio;2.388,14;2.388,14;2.388.140,00
—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;9.419,26;9.419,26;9.419.260,00
48;A familias e instituciones sin fines de lucro;426,1;426,1;426.100,00
483;A Asociaciones Judiciales;426,1;426,1;426.100,00
49;Al exterior;12,55;12,55;12.550,00
490;Cuotas a Organismos Internacionales;12,55;12,55;12.550,00
—;TOTAL TRANSFERENCIAS CORRIENTES;438,65;438,65;438.650,00
6;INVERSIONES REALES;2.270,72;2.270,72;2.270.720,00
83;Concesión de préstamos fuera del Sector Público;50;50;50.000,00
830;Préstamos a corto plazo;50;50;50.000,00
—;TOTAL ACTIVOS FINANCIEROS;50;50;50.000,00
—;TOTAL PROGRAMA 111M – Gobierno del Poder Judicial;43.258,25;43.258,25;43.258.250,00
