;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 26 MINISTERIO DE SANIDAD;
;Programa: 313E Salud Digital, Información e Innovación del Sistema Nacional de Salud;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;26.03;26.05;Total;
1;GASTOS DE PERSONAL;3.625,02;5.366,01;8.991,03;
10; Altos cargos;71,16;61,04;132,20;
12; Funcionarios;2.984,19;3.984,08;6.968,27;
13; Laborales;107,96;689,12;797,08;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;461,71;631,77;1.093,48;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.645,00;13.461,86;17.106,86;
20; Arrendamientos y cánones;;200,76;200,76;
21; Reparaciones, mantenimiento y conservación;;1.500,00;1.500,00;
22; Material, suministros y otros;3.315,00;11.761,10;15.076,10;
23; Indemnizaciones por razón del servicio;330,00;;330,00;
4;TRANSFERENCIAS CORRIENTES;2.006,95;;2.006,95;
45; A Comunidades Autónomas;2.006,95;;2.006,95;
6;INVERSIONES REALES;;861,04;861,04;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;137,50;137,50;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;;61,94;61,94;
64; Gastos de inversiones de carácter inmaterial;;661,60;661,60;
;TOTAL;9.276,97;19.688,91;28.965,88;
;;



