Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
26.06;10;Altos cargos;82,19;82.190,00
26.06;12;Funcionarios;365,73;365.730,00
26.06;16;Seguridad Social;127,96;127.960,00
—;—;Total Gastos de Personal – 26.06;575,88;575.880,00
26.06;22;Material, suministros y otros;2.450,00;2.450.000,00
26.06;23;Indemnizaciones por razón del servicio;50,00;50.000,00
—;—;Total Gastos Corrientes – 26.06;2.500,00;2.500.000,00
26.06;452;A CCAA – equipamiento Plan Salud Mental y COVID-19;16.000,00;16.000.000,00
—;—;Total Transferencias Corrientes – 26.06;16.000,00;16.000.000,00
26.06;751;A CCAA – equipamiento Plan Salud Mental y COVID-19;8.000,00;8.000.000,00
26.06;753;A CCAA – infraestructuras Salud Mental Comunitaria;14.500,00;14.500.000,00
—;—;Total Transferencias de Capital – 26.06;22.500,00;22.500.000,00
—;—;Total Comisionado de Salud Mental;41.575,88;41.575.880,00
26.07;10;Altos cargos;61,04;61.040,00
26.07;12;Funcionarios;7.010,01;7.010.010,00
26.07;13;Laborales;259,95;259.950,00
26.07;16;Seguridad Social;1.317,49;1.317.490,00
—;—;Total Gastos de Personal – 26.07;8.648,49;8.648.490,00
26.07;21;Reparaciones, mantenimiento y conservación;130,00;130.000,00
26.07;22;Material, suministros y otros;28.035,21;28.035.210,00
26.07;22502;Locales;10,00;10.000,00
26.07;23;Indemnizaciones por razón del servicio;237,4;237.400,00
—;—;Total Gastos Corrientes – 26.07;28.402,61;28.402.610,00
26.07;45;A Comunidades Autónomas;90.069,07;90.069.070,00
26.07;453;Instituto Universitario de Enfermedades Tropicales – I+D+i;450;450.000,00
26.07;454;Estrategias frente a enfermedades raras y neurodegenerativas (incluida ELA);2.818,07;2.818.070,00
26.07;456;Marco estratégico de Atención Primaria y Comunitaria;85.301,00;85.301.000,00
26.07;457;Atención a la salud mental en La Palma (volcán);1.500,00;1.500.000,00
26.07;48;A familias e instituciones sin fines de lucro;2.163,77;2.163.770,00
26.07;484;Ayudas sociales – hemofilia y coagulopatías;18;18.000,00
26.07;486;Subvenciones para prevención y control del SIDA e ITS;2.000,00;2.000.000,00
26.07;488;Ayudas sociales – enfermos contaminados de VIH;145,77;145.770,00
26.07;49;Al exterior;526;526.000,00
26.07;491;Oficina de la Organización Mundial de la Salud;326;326.000,00
26.07;492;OCDE – cooperación internacional;200;200.000,00
—;—;Total Transferencias Corrientes – 26.07;92.758,84;92.758.840,00
26.07;6;Inversiones reales (infraestructura y equipamiento);469,15;469.150,00
26.07;750;Marco estratégico de Atención Primaria y Comunitaria;87.124,00;87.124.000,00
26.07;752;Infraestructuras y equipamientos en Atención Primaria y Comunitaria;406.750,00;406.750.000,00
26.07;754;Universidades – impulso del Grado en Medicina;52.000,00;52.000.000,00
—;—;Total Transferencias de Capital – 26.07;545.874,00;545.874.000,00
26.07;—;Dirección General de Salud Pública y Equidad en Salud;676.153,09;676.153.090,00
;;26.06 Comisionado de Salud Mental;41.575,88;41.575.880,00
;;26.07 Dirección General de Salud Pública y Equidad en Salud;676.153,09;676.153.090,00
;;—;717.728,97;717.728.970,00
