Económica;Explicación;26.06;26.07;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;575,88;8.648,49;9.224,37;9.224.370,00
10;Altos cargos;82,19;61,04;143,23;143.230,00
12;Funcionarios;365,73;7.010,01;7.375,74;7.375.740,00
13;Laborales;—;259,95;259,95;259.950,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;127,96;1.317,49;1.445,45;1.445.450,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.500,00;28.402,61;30.902,61;30.902.610,00
21;Reparaciones, mantenimiento y conservación;—;130,00;130,00;130.000,00
22;Material, suministros y otros;2.450,00;28.035,21;30.485,21;30.485.210,00
23;Indemnizaciones por razón del servicio;50;237,40;287,40;287.400,00
4;TRANSFERENCIAS CORRIENTES;16.000,00;92.758,84;108.758,84;108.758.840,00
45;A Comunidades Autónomas;16.000,00;90.069,07;106.069,07;106.069.070,00
48;A familias e instituciones sin fines de lucro;—;2.163,77;2.163,77;2.163.770,00
49;Al exterior;—;526;526;526.000,00
6;INVERSIONES REALES;—;469,15;469,15;469.150,00
62;Inversión nueva asociada al funcionamiento operativo;—;451;451;451.000,00
64;Gastos de inversiones de carácter inmaterial;—;18,15;18,15;18.150,00
7;TRANSFERENCIAS DE CAPITAL;22.500,00;545.874,00;568.374,00;568.374.000,00
75;A Comunidades Autónomas;22.500,00;545.874,00;568.374,00;568.374.000,00
—;TOTAL PROGRAMA 313B – Salud pública, sanidad exterior y calidad;41.575,88;676.153,09;717.728,97;717.728.970,00
