;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 26 MINISTERIO DE SANIDAD;
;Programa: 313E Salud Digital, Información e Innovación del Sistema Nacional de Salud;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
26.03;;SECRETARÍA GENERAL DE SALUD DIGITAL, INFORMACIÓN E INNOVACIÓN DEL SISTEMA NACIONAL DE SALUD;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;71,16;
;12;Funcionarios;;2.984,19;
;13;Laborales;;107,96;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;461,71;
;16000; Seguridad Social;461,71;;
;;TOTAL GASTOS DE PERSONAL;;3.625,02;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22;Material, suministros y otros;;3.315,00;
;23;Indemnizaciones por razón del servicio;;330,00;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;3.645,00;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;2.006,95;
;458;A Comunidades Autónomas, para la mejora del sistema de información sanitaria del SNS;;2.006,95;
;;TOTAL TRANSFERENCIAS CORRIENTES;;2.006,95;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE SALUD DIGITAL, INFORMACIÓN E INNOVACIÓN DEL SISTEMA NACIONAL DE SALUD;;9.276,97;
 ; ;;;;
 ; ;;;;
26.05;;DIRECCIÓN GENERAL DE SALUD DIGITAL Y SISTEMAS DE INFORMACIÓN PARA EL SISTEMA NACIONAL DE SALUD;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;61,04;
;12;Funcionarios;;3.984,08;
;13;Laborales;;689,12;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;631,77;
;16000; Seguridad Social;631,77;;
;;TOTAL GASTOS DE PERSONAL;;5.366,01;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;20;Arrendamientos y cánones;;200,76;
;21;Reparaciones, mantenimiento y conservación;;1.500,00;
;22;Material, suministros y otros;;11.761,10;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;13.461,86;
 ; ;;;;
;6;INVERSIONES REALES;;861,04;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE SALUD DIGITAL Y SISTEMAS DE INFORMACIÓN PARA EL SISTEMA NACIONAL DE SALUD;;19.688,91;
 ; ;;;;
 ; ;;;;
;;TOTAL Salud Digital, Información e Innovación del Sistema Nacional de Salud;;28.965,88;
;;



