;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 26 MINISTERIO DE SANIDAD;
;Programa: 000X Transferencias y libramientos internos;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;26.04;26.09;26.301;;;Total;
4;TRANSFERENCIAS CORRIENTES;9.154,12;283.872,45;21.763,26;;;314.789,83;
40; A la Administración del Estado;;;21.763,26;;;21.763,26;
41; A Organismos Autónomos;6.290,32;824,51;;;;7.114,83;
42; A la Seguridad Social;2.855,00;283.047,94;;;;285.902,94;
43; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;8,80;;;;;8,80;
7;TRANSFERENCIAS DE CAPITAL;267,55;22.097,35;;;;22.364,90;
71; A Organismos Autónomos;247,55;;;;;247,55;
72; A la Seguridad Social;20,00;22.097,35;;;;22.117,35;
;TOTAL;9.421,67;305.969,80;21.763,26;;;337.154,73;
;;



